Paragraph,Action
Both the organic and aqueous layers were separated.,PHASESEPARATION.
"After then being left to stand at RT for three days, the mixture was diluted with ethyl acetate and washed with water.",WAIT for three days at RT; ADD ethyl acetate; WASH with water.
"3-Bromo-2-fluoroaniline (10 g, 52.63 mmol) was dissolved in DCM (100 mL) under nitrogen atmosphere.","ADD 3-Bromo-2-fluoroaniline (10 g, 52.63 mmol); ADD DCM (100 mL) under nitrogen."
The mixture was allowed to cool to rt and then concentrated in vacuo.,SETTEMPERATURE rt; CONCENTRATE.
"The crude material was purified by silica gel chromatography eluting with 20-100% DCM/MeOH/DEA (950:45:5) in DCM to give benzyl 3-(formamido(7-((2-(trimethylsilyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)methyl)piperidine-1-carboxylate (˜1:1 mixture of diastereomers) as a foam (2.2 g, 69%): LC/MS (Table 1, Method a) Rt=2.64 and 2.71 min; MS m/z: 524 (M+H)+.","PURIFY; YIELD benzyl 3-(formamido(7-((2-(trimethylsilyl)ethoxy)methyl)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)methyl)piperidine-1-carboxylate (2.2 g, 69%)."
"Anschließend wurden 1,2 ml Methanol und 14 ml Wasser zugegeben, über Nacht stehen gelassen, mit weiteren 70 ml Wasser versetzt und dreimal mit je 84 ml Methyl-tert.-butylether extrahiert.",OTHERLANGUAGE.
"The reaction mixture was concentrated in vacuo before being dissolved in MeOH and purified by SPE on sulfonic acid (SCX) 5 g, first washing with MeOH and then eluting using a 10% NH3/MeOH solution to give the free base of the product.",CONCENTRATE; ADD MeOH; PURIFY.
"To a solution of methyl 1H-indazole-6-carboxylate (865 mg, 4.91 mmol) in N,N-dimethylformamide (12 mL) was added potassium hydroxide (840 mg, 3.05 mmol) followed by iodine (1.54 g, 5.9 mmol).","MAKESOLUTION with methyl 1H-indazole-6-carboxylate (865 mg, 4.91 mmol) and N,N-dimethylformamide (12 mL); ADD SLN; ADD potassium hydroxide (840 mg, 3.05 mmol); ADD iodine (1.54 g, 5.9 mmol)."
"The product was purified by HPLC and the required fractions were combined and basified with K2CO3 (0.5 g), extracted with DCM (2×50 ml), dried and the solvent removed in vacuo to yield a yellow solid (101 mg, 31%).","PURIFY; COLLECTLAYER organic; PH with K2CO3 (0.5 g) to pH basic; EXTRACT with DCM (50 ml) 2 x; DRYSOLUTION over unknown; CONCENTRATE; YIELD yellow solid (101 mg, 31%)."
The reaction mixture was heated to 90°C and maintained at the same temperature for overnight.,STIR for overnight at 90°C.
"Then water was added and the mixture was extracted with EA three times, the combined organic layers were washed with brine and dried (anhydrous Na2SO4).",ADD water; EXTRACT with EA 3 x; COLLECTLAYER organic; WASH with brine; DRYSOLUTION over anhydrous Na2SO4.
"The product was analyzed by GC, GCMS and NMR (1H).",NOACTION.
"After cooling to room temperature, the solvent was removed in vacuo.",SETTEMPERATURE room temperature; CONCENTRATE.
Crushed ice (40 g) was added and the pH was adjusted to pH 12 with 40% aqueous KOH solution.,ADD Crushed ice (40 g); PH with 40% aqueous KOH solution to pH 12.
"The mixture was stirred in the ice bath for 10 min, and then at RT for 20 min.",STIR for 10 min at 0 °C; STIR for 20 min at RT.
"After the elimination of the desiccant and solvent the residue was purified by chromatography (silica gel, gradient DCM/isopropanol 95:5 to DCM/isopropanol 90:10).",FILTER keep filtrate; CONCENTRATE; PURIFY.
During this time the temperature of the reaction is maintained below 30°.,WAIT for unknown at below 30°.
"18.1 ml (18 mmol) of a 1-molar solution of boron tribromide in dichloromethane were added to a solution of 3.37 g (9 mmol) of 4-chloro-3-(2,3-dichloro-4-methoxybenzyl)-5-difluoromethoxy-1-methyl-1H-pyrazole in 45 ml of dichloromethane which had been cooled to (−78)° C.","MAKESOLUTION with 4-chloro-3-(2,3-dichloro-4-methoxybenzyl)-5-difluoromethoxy-1-methyl-1H-pyrazole (3.37 g, 9 mmol) and dichloromethane (45 ml); ADD SLN; SETTEMPERATURE (−78)° C; ADD 1-molar solution of boron tribromide in dichloromethane (18.1 ml, 18 mmol)."
"Ethyl 7,8,9-trifluoro-1-hydroxymethyl-5-oxo-5H-thiazolo[3,2-a]quinoline-4-carboxylate (0.50 g) prepared in Reference Example 13 and triethylamine (0.40 g) were added to dimethylsulfoxide (15 ml) and the mixture was stirred at 75°C for 1 hour and 30 minutes.","ADD dimethylsulfoxide (15 ml); ADD Ethyl 7,8,9-trifluoro-1-hydroxymethyl-5-oxo-5H-thiazolo[3,2-a]quinoline-4-carboxylate (0.50 g); ADD triethylamine (0.40 g); STIR for 1 hour and 30 minutes at 75°C."
The residue was purified via reverse phase prep-HPLC and the pure fractions were neutralized by pushing through PL-HCO3 resin.,PURIFY; PH with PL-HCO3 resin to pH neutral.
"After the transfer is completed, the next step may be executed without any hold period.",NOACTION.
