documentId,Paragraph,Compound
US08981084B2,"2-Fluoroaniline (4.0 g, 36.0 mmol) and bis-(2-chloroethyl)-amine hydrochloride (6.4 g, 36.0 mmol) were dissolved in n-butanol (40 mL) and potassium carbonate (12.0 g, 86.8 mmol) was added. The reaction mixture was heated to 100° C. for 16 h, cooled to room temperature, and concentrated under reduced pressure. The crude reaction mixture was diluted with 10% MeOH in CHCl3 and filtered. The clear filtrate was concentrated under reduced pressure to get 1-(2-fluorophenyl)piperazine (2.0 g, yield 31%), which was carried through without further purification. 1H NMR (400 MHz, CDCl3) δ 9.95 (br s, 1H), 7.12-6.95 (m, 4H), 3.43 (br s, 8H). MS (ESI) m/z: Calculated for C10H13FN2: 180.11. found: 180.9 (M+H)+",2-Fluoroaniline | bis-(2-chloroethyl)-amine hydrochloride | n-butanol | potassium carbonate | MeOH | CHCl3 | 1-(2-fluorophenyl)piperazine
US07425554B2,"To a solution of 2-cyclohept-1-enylphenylamine (617 mg, 3.29 mmol) in 1,2-dichlorobenzene (8 mL) was added bis(2-chloroethyl)amine hydrochloride (705 mg, 3.95 mmol), and the mixture was stirred at an external temperature of 200° C. under a nitrogen atmosphere. During the reaction, a nitrogen stream was blown into the reactor to remove the hydrogen chloride gas in the reactor. This procedure was repeated several times. After 5 hours, the reaction mixture was air-cooled to room temperature, and then aqueous solution of potassium carbonate, ethyl acetate and methanol were added to the reaction mixture and extraction was performed three times with ethyl acetate. The obtained organic layers were dried over anhydrous sodium sulfate, and then the desiccant was filtered off and the filtrate was concentrated under reduced pressure. The resultant residue was purified by NH silica gel column chromatography (ethyl acetate/heptane) to give 387 mg of the title compound as a brown oil.","2-cyclohept-1-enylphenylamine | 1,2-dichlorobenzene | bis(2-chloroethyl)amine hydrochloride | nitrogen | hydrogen chloride | potassium carbonate | ethyl acetate | methanol | sodium sulfate | resultant residue | silica gel | ethyl acetate/heptane | title compound"
US08546569B2,"A solution of n-buthyllithium in hexane (47.0 ml of a 1.6M solution) was added dropwise to a solution of N-(4-chloro-phenyl)-2,2-dimethyl-propionamide (6.35 g) in dry THF (100 ml) at −5° C. under a N2 atmosphere over 15 min. The resulting solution was stirred at 0° C. for 2 hours, and then a solution of 1-[(E)-3-(4-chloro-phenyl)-allyl]-piperidin-4-one (7.49 g) in THF (15 ml) was added dropewise to the above solution of the dianion at 0° C. over a 1 hour period. The reaction mixture was stirred for 2 hours at 0° C. and then overnight at r.t. The solution was then poured into ice water, made acidic with conc. HCl and extracted with ethyl acetate. The water layer was made basic and extracted three times with ethyl acetate. The combined organic layers were washed with water, dried over sodium sulfate and concentrated in vacuo. The residue was subjected to silica gel chromatography (hexane:ethyl acetate:triethyl amine 49:49:2) to afford the title product (6.2 g). M.p. 177-179° C.; Retention Time HPLC 2.19 min; MS (ES+) 461 (M+H+).","hexane | N-(4-chloro-phenyl)-2,2-dimethyl-propionamide | THF | N2 | 1-[(E)-3-(4-chloro-phenyl)-allyl]-piperidin-4-one | THF | ice water | water | HCl | ethyl acetate | ethyl acetate | sodium sulfate | title product"
US08957093B2,"To a solution of 3-isopropylbenzaldehyde (0.711 g, 4.75 mmol) in THF (5 mL) was added (S)-2-methyl-2-propanesulfinamide (0.534 g, 4.32 mmol) and Ti(OiPr)4 (2.75 mL, 8.64 mmol). The resulting mixture was allowed to stir over night at rt where it was then quenched with aqueous NH4Cl (5 mL) and diluted with EtOAc (100 mL). The mixture was then filtered through celite using excess EtOAc to rinse, concentrated to an oil crude and separated by silica gel (EtOAc:Hexanes) to isolate the title compound.",3-isopropylbenzaldehyde | THF | (S)-2-methyl-2-propanesulfinamide | Ti(OiPr)4 | NH4Cl | EtOAc | silica gel | title compound
US20090312310A1,"The compound obtained in Step 2 of Example 61 was reacted in the same way as in Step 4 of Example 1 using (2S)—N,N-dimethylazetidine-2-carboxamide instead of piperazin-2-one to give the title compound.","compound | (2S)—N,N-dimethylazetidine-2-carboxamide | piperazin-2-one | title compound"
US08486979B2,"The title compound was prepared according to the procedure of Example 8 using N′-hydroxynicotinimidamide (Aldrich) and 3-fluoro-4-hydroxybenzoic acid (Aldrich). 1H NMR (300 MHz, CD3OD) δ 7.09 (t, J=8.7 Hz, 1 H), 7.63 (ddd, J=7.9, 5.2, 0.8 Hz, 1 H), 7.86-7.93 (m, 2 H), 8.53 (dt, J=7.9, 2.0 Hz, 1 H), 8.72 (dd, J=4.8, 1.6 Hz, 1 H), 9.27 (dd, J=2.4, 0.8 Hz, 1 H) ppm; MS (DCI/NH3) m/z 258 (M+H)+.",title compound | N′-hydroxynicotinimidamide | 3-fluoro-4-hydroxybenzoic acid | NH3
US20100063013A1,"To a stirred, cold (0° C.) solution of triphenylphosphine (161 mg, 0.61 mmol) in THF (3 mL) was added Br2 (32 μL, 0.61 mmol). To this yellow suspension was added N-[(1R)-1-(4-Bromophenyl)-4-hydroxy-1-(trifluoromethyl)but-2-yn-1-yl]-4-fluoro-L-leucyl-5-trityl-L-cysteinamide from Step 5, Example 3 (241 mg, 0.31 mmol) as a solution in THF (1 mL). The resultant yellow suspension was stirred at 0° C. for 30 min and then warmed to room temperature and stirred for 1 h. The mixture was then quenched with freshly prepared sat. aq. Na2S2O3 and Et2O was added. The aqueous layer was extracted with Et2O (3×) and the combined organic layers were washed with sat. aq. Na2S2O3 (1×), brine (1×), dried (MgSO4) and concentrated. The residue thus obtained was purified by column chromatography eluting with 40% EtOAc/hexanes→60% EtOAc/hexanes to afford the title compound.",triphenylphosphine | THF | Br2 | N-[(1R)-1-(4-Bromophenyl)-4-hydroxy-1-(trifluoromethyl)but-2-yn-1-yl]-4-fluoro-L-leucyl-5-trityl-L-cysteinamide | THF | Na2S2O3 | Et2O | Et2O | Na2S2O3 | brine | MgSO4 | EtOAc/hexanes | title compound
US07396840B2,"A mixture of 1,2-Phenylenediamine (1.3 g, 12.0 mmol) and 3-chloropropionic acid (2.0 g, 18.5 mmol) were refluxed in 4N HCl (13 mL) for 16 hours to give the title compound as white solid (700 mg, 32%). 1H NMR (CD3OD) □ 3.35 (t, 2H, J=6.8 Hz), 4.00 (t, 2H, J=6.8 Hz), 7.18-7.25 (m, 2H), 7.49-7.55 (m, 2H); ES-MS m/z 181.0 (M+H).","1,2-Phenylenediamine | 3-chloropropionic acid | HCl | title compound"
US05132305,"56.1 g (0.42 mole) of aluminum chloride are weighed into a ground-necked flask, 10 cm3 of dimethylformamide are then added using a dropping funnel and the mixture is left stirring until it becomes homogeneous. 8.1 g (0.06 mole) of benzoxazolinone are then added and the mixture is left stirring for 10 minutes before adding 7 cm3 (0.072 mole) of 3-chloropropionic acid chloride. This mixture is maintained in an oil bath at 80°-85° C. for approximately 2 hours 30 minutes. After cooling, the reaction mixture is poured into ice-cold water. The precipitate is drained and washed with water to neutrality. The product is recrystallized in ethanol.",aluminum chloride | dimethylformamide | benzoxazolinone | 3-chloropropionic acid chloride | ice | water | ethanol
US05869517,"A mixture of 324 g (1.3 mol) of phenyl N-methoxy-N-(2-methylphenyl)carbamate (Example 2b), 258 g (1.45 mol) of N-bromosuccinimide and 1 g of azoisobutyronitrile in 1 1 of CCl4 is irradiated using a 300 W UV lamp for about 6 hours, whereby the reaction mixture is heated to boiling. 13 g of N-bromosuccinimide are then added and the mixture is irradiated for a further 8 hours. It is then cooled to room temperature and the precipitated succinimide is filtered off. The organic phase is then extracted with water, dried over MgSO4 and concentrated. The residue crystallizes and is stirred with cyclohexane. 300 g (68%) of the title compound are obtained as a beige solid.",phenyl N-methoxy-N-(2-methylphenyl)carbamate | N-bromosuccinimide | azoisobutyronitrile | CCl4 | N-bromosuccinimide | succinimide | water | MgSO4 | cyclohexane | title compound
