paragraph,task_name,output
"Paragraph_2_compound_name:Synthesis of Cu2(pzdc)2(pyz)·2H2O (hydrated complex 1). A mixture of Na2pzdc(0.21 g, 1.00 mmol) and pyz (1.0 g, 12.5 mmol) dissolved in H2O/EtOH(1:1, 100 ml) was slowly added to the H2O solution (100 ml) containingCu(ClO4)2·6H2O (0.37 g, 1.00 mmol) at room temperature. After stirring forone day, the resultant precipitate was filtered, washed with H2O and methanol,and dried under reduced pressure27. Elemental analysis for C16H12Cu2N6O10 isas follows. Calculated: C, 33.40; H, 2.10; N, 14.61. Found: C, 32.78; H, 1.57; N,14.34.",Paragraph_2_compound_name,Cu2(pzdc)2(pyz)·2H2O
"Paragraph_2_compound_name:Synthesis of Compounds. Zn3(OH)2(BPDC)2·(DEF)4(H2O)2: MOF-69A. A solid mixture of Zn(NO3)2·6H2O (24.6 mg, 0.083 mmol) and 4,4‘-biphenyldicarboxylic acid (H2BPDC) (10 mg, 0.041 mmol) was dissolved in a 20 mL vial containing DEF (12 mL), 30% H2O2 (0.40 mL), and CH3NH2 (0.20 mL, 70.3 mM in DMF). The mixture was allowed to stand in a capped vial for 7 d at room temperature. Colorless crystals of MOF-69A were collected and air-dried (21 mg, 86.1% yield based on H2BPDC).",Paragraph_2_compound_name,Zn3(OH)2(BPDC)2·(DEF)4(H2O)2: MOF-69A
"Paragraph_2_compound_name:MOF-69B. A solid mixture of Zn(NO3)2·6H2O (24.6 mg, 0.083 mmol) and 2,6-naphthalenedicarboxylic acid (H2NDC) (8.9 mg, 0.041 mmol) was dissolved in a 20 mL vial containing DEF (12 mL), 30% H2O2 (0.40 mL), and CH3NH2 (0.20 mL, 70.3 mM in DMF). The mixture was allowed to stand in a capped vial for 7 d at room temperature. Colorless crystals of MOF-69B werecollected and air-dried (18 mg, 80.4% yield based on H2NDC).",Paragraph_2_compound_name,MOF-69B
"Paragraph_2_compound_name:MOF-69C. In a 20 mL vial, a solidmixture of 1,4-benzenedicarboxylic acid (1,4-BDC) (33.0 mg, 0.199mmol) and Zn(NO3)2·6H2O (177 mg, 0.596 mmol) was dissolved in DEF (4.883 mL). Deionized H2O (0.117 mL) was added to the reactionsolution, and the vial was capped and heated for 15 h in a 100 °C isotemp oven. The vial, containing colorless rodlike crystals (67 mg,89% yield based on H2BDC), was removed from the oven while hot.The crystals were collected and washed with DEF (3 mL  3).",Paragraph_2_compound_name,MOF-69C
"Paragraph_2_compound_name:MOF-70. In a 20 mL vial, lead(II) nitrate (60 mg, 0.181 mmol) and 1,4-benzenedicarboxylic acid (H2BDC) (30 mg, 0.181 mmol) were dissolved in DMF (1 mL) andthen diluted with ethanol (9 mL). To this solution was added hydrogen peroxide aqueous solution (30%) (0.1 mL) to give a clear colorlesssolution. Eight vials of this solution were placed along the perimeter of a big container. Triethylamine (0.4 mL) (TEA) was added to DMF (5 mL) and then placed in a vial in the center of the big container. The container was covered, and the TEA solution was allowed to diffuse into the solutions containing Pb(NO3)2 and H2BDC. After 1 week,colorless crystals were produced, collected, and washed with ethanol and DMF mixed solution (90% ethanol, 10% DMF). The crystals became opaque upon exposure to air.",Paragraph_2_compound_name,MOF-70
"Paragraph_2_compound_name:MOF-71. A solid mixture of Co(NO3)2·6H2O (40 mg, 0.137 mmol) and 1,4-benzenedicarboxylic acid (23 mg, 0.137 mmol) was dissolved in DMF (1 mL) and absolute EtOH (0.25 mL). The sealed reaction tube was heated for 15 h in a 100 °C isotemp oven.The tube, containing pink blocklike crystals and purple hexagonalplatelike crystals, was removed from the oven while hot. The mixtureof crystals was collected and washed with DMF (3 mL  3). The twocrystalline phases were separated by density (CHBr3/CH2Cl2), and thepink blocklike crystals (17 mg, 84% based on H2BDC) were characterized.",Paragraph_2_compound_name,MOF-71
"Paragraph_2_compound_name:MOF-72. A solid mixture of 1,3-benzenedicarboxylic acid (H2-1,3-BDC) (24 mg, 0.145 mmol) and Cd(NO3)2·4H2O (22.20 mg, 0.072 mmol) was dissolved in DMF (1 mL).The resulting solution was transferred into a Pyrex tube by pipet. Tothe solution was added a CH3NH2/H2O/DMF solution (0.1 mL) preparedby diluting 40% aqueous CH3NH2 (1 mL) with DMF (50 mL). Thetube was frozen in a N2(l) bath, evacuated (200 mTorr), flame-sealed,and heated to 140 °C at a rate of 5 °C/min for 50 h and then cooled toroom temperature at a rate of 2 °C/min. Colorless rod-shaped crystalsof the product were formed, collected, washed with DMF (3 mL  3),and air-dried (24 mg, 31% based on H2-1,3-BDC).",Paragraph_2_compound_name,MOF-72
"Paragraph_2_compound_name:MOF-73. A solid mixture of 1,4-benzenedicarboxylicacid (H2BDC) (17 mg, 0.102 mmol) and Mn(ClO4)2·6H2O (108 mg, 0.298 mmol) was dissolved in DEF (2.0 mL). This solutionwas decanted into a Pyrex tube which was then frozen in a N2(l) bath, evacuated (200 mTorr), flame-sealed, and heated for 48 h in a 100 °C isotemp oven. The tube, containing colorless rhombus-shaped blockcrystals, was removed from the oven while hot. The crystals werewashed with DEF (3 mL  3) and air-dried to yield pure product (7mg, 21.4% based on H2BDC).",Paragraph_2_compound_name,MOF-73
"Paragraph_2_compound_name:MOF-74. A solid mixture of 2,5-dihydroxy-1,4-benzenedicarboxylic acid (H2-DHBDC) (0.019 g, 0.096 mmol) and zinc nitrate tetrahydrate, Zn(NO3)2·4(H2O) (0.053 mg, 0.203 mmol), was dissolved in DMF (2.0 mL), 2-propanol (0.1 mL), and water (0.1 mL) and placed in a Pyrex tube which was then frozen in aN2(l) bath, evacuated (200 mTorr), flame-sealed, and heated to 105 °C at a rate of 2.0 °C/min for 20 h and then cooled to room temperatureat a rate of 2.0 °C/min. Yellow needle crystals were produced whichwere dried in air after washing with DMF and ethanol (26 mg, yield51% based on H2-DHBDC).",Paragraph_2_compound_name,MOF-74
"Paragraph_2_compound_name:MOF-75. A solid mixture of Tb(NO3)3·5H2O (109 mg, 0.251 mmol) and 2,5-thiophenedicarboxylic acid (H2-TDC) (11.5 mg, 0.067 mmol) was dissolved in DMF (1 mL). 2-Propanol(1.5 mL) was added to the DMF solution. The resulting solution wastransferred with a pipet into a Pyrex tube, frozen in a N2(l) bath,evacuated (200 mTorr), and flame-sealed. The sealed reaction tube washeated to 85 °C at a rate of 2 °C/min for 15 h and then cooled to roomtemperature at a rate of 2 °C/min to yield colorless polyhedral crystals(30.6 mg, 84% based on H2TDC).",Paragraph_2_compound_name,MOF-75
"Paragraph_2_compound_name:MOF-76. To a solvothermal vessel were added H3BTC (0.020 g, 0. 10 mmol), Tb(NO3)3·5H2O (0.120 g, 0.28 mmol), DMF (4 mL), ethanol (4 mL), and H2O (3.2 mL), respectively.The vessel was sealed and heated to 80 °C at a rate of 2 °C/min for 24 h and then cooled to room temperature at a rate of 1 °C/min. Needlelikecolorless crystals of the product were formed and collected by filtration(35 mg, 78% yield based on H3BTC).",Paragraph_2_compound_name,MOF-76
"Paragraph_2_compound_name:MOF-77. To a solvothermal vessel were added adamantane tetracarboxylic acid (H4ATC) (0.048 g, 0.15 mmol), Zn(NO3)2·6H2O (0.140 g, 0.47 mmol), and H2O (4 mL), respectively. The vessel was sealed and heated to 185 °C at a rate of 5 °C/min for 40 h and then cooled to room temperature at a rate of 2 °C/min. Tetragonal colorless crystals of the product were formed and collected by filtration, yielding 0.058 g (86% yield based on H4ATC).",Paragraph_2_compound_name,MOF-77
"Paragraph_2_compound_name:MOF-78. H2HPDC (0.018 g, 0.06 mmol) was dissolved in DMF (7.0 mL) and EtOH (2.0 mL). Todeprotonate the acid, 0.10 mL of a triethylamine/ethanol solution (5.0% v/v) was added to the organic solution and sonicated (1 min). Co(NO3)2·6H2O (0.060 g, 0.21 mmol) was dissolved in water (1.0 mL), whichwas poured into the mixed solution, and the whole solution was mixedusing a sonicator (1 min). The resulting clear pink solution was placedin a solvothermal vessel which was sealed and heated to 85 °C for 24 h and cooled to room temperature at a rate of 1.0 °C/min. Rectangularpink crystals were produced which were dried in air after washing withDMF and acetone (0.024 g, 77% based on one acid).",Paragraph_2_compound_name,MOF-78
"Paragraph_2_compound_name:MOF-79. H2HPDC (0.018 g, 0.061 mmol) and Cd(NO3)2·4H2O (0.055 g, 0.18 mmol) were suspended in water (2.0 mL), CH3OH (3.0 mL), and 1-cylcohexyl-2-pyrrolidinone(CHP) (3.0 mL), and the resulting mixture was dispersed by sonication(1 min). The heterogeneous mixture was placed in a solvothermal vesselwhich was sealed and heated to 130 °C at a rate of 2.0 °C/min for 20 h and then cooled to room temperature at a rate of 2.0 °C/min.Rectangular pale yellow crystals were produced which were dried inair after washing with DMF and ethanol (0.026 g, yield 52% basedH2TPDC).",Paragraph_2_compound_name,MOF-79
"Paragraph_2_compound_name:MOF-80. H2PDC (0.010 g, 0.034 mmol) and Tb(NO3)3·5H2O (0.056 g, 0.129 mmol) weresuspended in water (2.0 mL), ethanol (4.0 mL), and DMF (4.0 mL),and the resulting mixture was dispersed by sonication (1 min). Theheterogeneous mixture was placed in a solvothermal vessel which wassealed and heated at a rate of 2.0 °C/min to 80 °C for 24 h and thencooled to room temperature at a rate of 1.0 °C/min. Rectangular paleyellow crystals were produced which were dried in air after washingwith DMF and ethanol (0.013 g, 73% based on one acid).""",Paragraph_2_compound_name,MOF-80
"Paragraph_2_compound_name:Synthesis of MIL-101 A solution containing 6.00 g (15 mmol) Cr(NO3)3·9 H2O, 3.76 g (23 mmol), 1,4-benzene dicarboxylic acid (H2BDC), 0.75 ml of hydrofluoric acid (38-40 % in water) and 75 ml H2O was introduced in a 250-ml Teflon-liner. The mixture was placed in an autoclave and was heated to 493 K for 9 h. After cooling, the reaction mixture was filtered trough a large pore fritted glass filter (G 1) to eliminate excess of recrystallised terephthalic acid. The product was separated from water by using a small pore fritted glas filter (G 4). Finally, the solid was dried at 423 K, first in air for 4 h and at reduced pressure over night to obtain activated, fine powdered MIL-101.",Paragraph_2_compound_name,MIL-101
"Paragraph_2_compound_name:Synthesis of MOF-5.19 Zn(NO3)2·4H2O (8.3200 g, 31.824 mmol) and H2bdc (1.7600 g, 10.594 mmol) weredissolved in DEF (100 cm3). The solution was heated to 100 °C in a Teflon-lined stainless-steel autoclave at a rate of1.5 °C min-1 for 20 h and then cooled to room temperatureat a rate of 0.5 °C min-1. The solutions were filtered off inargon flow, and the clear block crystals were washed in DMFand exchanged with dry CHCl3 thrice in three days. Finally,the material was evacuated for 12 h to remove chloroformmolecules and stored in a glovebox",Paragraph_2_compound_name,MOF-5
"Paragraph_2_compound_name:MOF-5: Zn4O(C8H4O4)3. Terephthalic acid (3 g, 2 × 10-2 mol) and Zn(NO3)2·4H2O (14 g, 5.4 × 10-2 mol) were dissolved in 300 ml of diethylformamide in a 500-ml jar with sonication. The jar wascapped tightly and placed in a 100°C oven for 3 days. The motherliquor was decanted, and the large yellow crystalline product waswashed with diethylformamide and then HPLC-grade (pentene stabilized) chloroform. The product was immersed in chloro form, which was decanted and replaced with fresh chloroformtwice over 3 days. Product was evacuated to dryness and heatedunder vacuum to 120°C for 17 h. The sample was backfilled andstored under nitrogen. The Brunauer, Emmett, and Teller(BET) surface area was measured to be 2,205 m2/g.",Paragraph_2_compound_name,MOF-5: Zn4O(C8H4O4)3
"Paragraph_2_compound_name:IRMOF-3: Zn4O(C8H5NO4)3. 2-Aminoterephthalic acid (5.96 g, 3.29 × 10-2 mol) and Zn(NO3)2·4H2O (37.47 g, 1.43 × 10-1 mol) weredissolved in 800 ml of diethylformamide in a 1-liter jar withsonication. The jar was capped tightly and placed in a 100°C ovenovernight ( 15 h). The mother liquor was decanted, and thelarge brown crystalline product was washed with diethylform amide and then HPLC-grade (pentene-stabilized) chloroform.The product was immersed in chloroform, which was decantedand replaced with fresh chloroform twice over 3 days. Theproduct was evacuated to dryness and heated under vacuum to120°C for 23 h. The sample was backfilled and stored undernitrogen. The BET surface area was measured to be 1,568 m2/g.",Paragraph_2_compound_name,IRMOF-3: Zn4O(C8H5NO4)3
