Paragraph,task_name,output
"Paragraph_2_IUPAC: 6-((tert-butoxycarbonyl)amino)hexyl 4-methylbenzenesulfonate (5.0 g, 0.013 mol) was stirred in a solution of 4M HCl in dioxane at rt for 16 h. At that time, the mixture was concentrated in vacuo. The residue was triturated with ethyl acetate to provide 7 (4.13 g, quantitative) as a white solid. 1H NMR (C5H5N, 500 MHz) δ 8.01 (d, J = 8.1 Hz, 2H), 7.33 (d, J = 8.1 Hz, 2H), 4.07 (t, J = 6.4 Hz, 2H), 3.18 (t, J = 7.5 Hz, 2H), 2.24 (s, 3H), 1.90 (m, 2H), 1.50 (m, 2H), 1.23 (m, 2H), 1.17 (m, 2H); 13C NMR (C5H5N, 125 MHz) δ 145.6, 134.2, 129.5, 128.8, 71.5, 40.0, 29.3, 28.4, 26.7, 25.5, 21.8. HRMS (ESI) calcd for C13H22ClNO3SNa (M + Na)+ 330.0901 found 330.0898. ",Paragraph_2_IUPAC,7
"Paragraph_2_IUPAC: (2-Methyl-5,6-dihydropyrazolo[5,1-a]isoquinolin-1-yl)(phenyl)methanone (4at). Following the general procedure; flash chromatography (EtOAc:hexane = 2:3, 18 mg, yield 64%), white solid: m.p. 75–77 °C; 1H NMR (400 MHz, CDCl3) δ 7.89–7.79 (m, 2H), 7.58–7.49 (m, 1H), 7.44–7.37 (m, 2H), 7.36–7.31 (m, 1H), 7.26–7.17 (m, 2H), 7.04 (td, J = 7.6, 1.5 Hz, 1H), 4.32 (t, J = 6.9 Hz, 2H), 3.22 (t, J = 6.8 Hz, 2H), 2.19 (s, 3H); 13C NMR (100 MHz, CDCl3) δ 193.1, 149.4, 139.5, 139.0, 133.08, 133.06, 129.8, 128.9, 128.7, 128.2, 127.2, 127.0, 126.0, 116.1, 46.4, 29.5, 13.7; IR (neat) 2972, 2901, 1612, 1596, 1578, 1531, 1487, 1477, 1423, 1394, 1349, 1340, 1314, 1276, 1254, 1195, 1137, 1026 cm−1; HRMS (EI) m/z calcd for [M]+ C19H16N2O: 288.1263, found: 288.1260. ",Paragraph_2_IUPAC,"2-Methyl-5,6-dihydropyrazolo[5,1-a]isoquinolin-1-yl)(phenyl)methanone"
"Paragraph_2_IUPAC: 2-((3-((2-Benzoylhydrazineylidene)methyl)quinolin-2-yl)thio)-N-phenylacetamide(9a) Light Brown solid; Yield:93%; MP = 245–247 °C, Rf 0.57 (1:1 EtOAc—light petroleum) IR; (KBr, vmax) 3347(NH), 3059(C–H Aromatic), 2975(CH2 Aliphatic) 1673(C=O) cm−1; 1H NMR (400 MHz, DMSO-d6) δ 12.20 (s, 1H, NH), 10.44 (s, 1H, N = CH), 8.90 (s, 1H, NHAmide), 8.63 (s, 1H, H4), 8.16–7.73 (m, 4H, HAr), 7.55–7.39 (m, 7H, HAr), 7.38–7.15 (m, 2H, HAr), 7.14–6.90 (m, 1H, HAr), 4.29 (s, 2H, CH2), 13C NMR (100 MHz, DMSO-d6): δ 166.73, 163.15, 149.00, 156.69, 147.13, 142.88, 139.16, 133.63, 133.11, 131.96, 130.86, 128.76, 128.48, 127.59, 125.62, 125.88, 125.24, 123.29, 119, 21, 119.00, 35.28; ESI–MS (C25H20N4O2S): calculated m/z 440.52 [M + H]+, observed m/z 440.49 [M + H]+; Anal. Calcd: C25H20N4O2S C, 68.16; H, 4.58; N, 12.72; Found C, 68.22; H, 4.46; N, 12.81. ",Paragraph_2_IUPAC,2-((3-((2-Benzoylhydrazineylidene)methyl)quinolin-2-yl)thio)-N-phenylacetamide
"Paragraph_2_IUPAC: 2.4.1. 11-O-(3,5-Dimethylbenzoyl)ambelline (28h) Yield 67 mg (94%); white powder; [α]24D = +20.2 (c = 0.139; CHCl3); 1H NMR (500 MHz, CDCl3) δ: 7.22 (2H, s), 7.12 (1H, s), 6.59 (1H, d, J = 10.0 Hz), 6.57 (1H, s), 6.08 (1H, dd, J = 10.0 Hz, J = 5.2 Hz), 5.86 (1H, d, J = 1.5 Hz), 5.80 (1H, d, J = 1.5 Hz), 5.33 (1H, dd, J = 8.0 Hz, J = 3.8 Hz), 4.37 (1H, d, J = 17.5 Hz), 4.00 (3H, s), 3.93 (1H, overlap, d, J = 17.5 Hz), 3.93–3.87 (2H, overlap, m), 3.53 (1H, ddd, J = 13.7 Hz, J = 4.0 Hz, J = 1.7 Hz), 3.37 (3H, s), 2.80 (1H, ddd, J = 14.2 Hz, J = 4.0 Hz, J = 1.7 Hz), 2.28 (6H, s), 2.21–2.16 (1H, m), 1.79 (1H, td, J = 13.7 Hz, J = 4.0 Hz); 13C NMR (125.7 MHz, CDCl3) δ: 166.4, 147.8, 140.6, 137.7, 134.5, 133.9, 133.8, 131.2, 129.7, 127.2, 126.6, 117.3, 100.5, 99.6, 87.3, 72.2, 63.0, 59.8, 59.1, 58.6, 56.5, 47.5, 28.7, 21.0; ESI-HRMS: m/z calcd for C27H30NO6+ [M+H]+ 464.2068, found 464.2067. ",Paragraph_2_IUPAC,"11-O-(3,5-Dimethylbenzoyl)ambelline"
"Paragraph_2_IUPAC: 3.4. Synthesis of N6-(3-Hydroxyphenyl) Adenine (M7) Concentrated hydrochloric acid (5 mL) was added into a stirred solution of WS070117 (4.85 g, 10 mmol) in 95% ethanol (100 mL). The reaction was refluxed for 1 h and then cooled to room temperature. The precipitated solid was filtered and washed with water to give M7 (2.1 g, 92.5%) as a white solid, ESI/MS: 228.05 [M + H]+, 1H-NMR (300 MHz, DMSO-d6, see Supplementary Materials) δ11.22 (s, 1H), 9.61 (brs, 1H), 8.74 (s, 1H), 8.70 (s, 1H), 7.42 (s, 1H), 7.31 (d, J = 10.4 Hz, 1H), 7.20 (t, J = 8.0 Hz, 1H), 6.62 (d, J = 8.0 Hz, 1H). 13C-NMR (100 MHz, DMSO-d6) δ 158.3, 150.0, 148.9, 148.8, 143.8, 139.1, 130.1, 113.3, 112.6, 112.6, 109.0. ",Paragraph_2_IUPAC,N6-(3-Hydroxyphenyl) Adenine
"Paragraph_2_IUPAC: Ethyl 3-(isobutylamino)propanoate (3l) [35]. Yellow oil. IR (neat, cm−1): υ = 2964, 2927, 2875, 2247, 1454, 1377, 698. 1H-NMR (CDCl3, 250 MHz): δ (ppm) 0.91 (t, J = 7.33 Hz, 3H), 1.05 (d, J = 6.1 Hz, 3H), 1.27–1.57 (m, 1H), 2.05 (s, 1H), 2.51 (t, J = 6.7 Hz, 1H), 2.61 (sx, J = 6.7 Hz, 1H), 2.85-3.05 (m, 1H), 3.48 (q, J = 6.7 Hz, 1H), 4.55 (q, J = 6.7 Hz, 1H). 13C-NMR (CDCl3, 62.9 MHz): δ (ppm) 10.1, 19.1, 19.8, 29.5, 42.5, 53.9, 118.8. ",Paragraph_2_IUPAC,Ethyl 3-(isobutylamino)propanoate
"Paragraph_2_IUPAC: (4-Methoxyphenyl)-[4-(4-trifluoromethylbenzylamino)phenyl]-methanone (26). The residue, after evaporation of the solvent, was purified by column chromatography eluting with CH2Cl2/EtOH (98:2) to give pure 26 as a yellow oil (22%); Rf = 0.56 (CHCl3-MeOH, 98:2); 1H-NMR (300 MHz, CDCl3) δ 3.71 (s, 3H), 4.41 (s, 2H), 4.70 (br s, 1H), 6.50 (dd, J = 9.5, 4.0 Hz, 2H), 6.89 (dd, J = 9.3, 3.2 Hz, 2H), 7.20 (t, J = 5.0 Hz, 2H), 7.38 (dd, J = 9.3, 3.2 Hz, 2H), 7.52 (t, J = 5.0 Hz, 2H), 7.64 (dd, J = 9.5, 4.0 Hz, 2H); 13C-NMR (300 MHz, CDCl3) δ 47.4 (1C), 55.9 (1C), 111.6 (1C), 111.9 (2C), 113.6 (2C), 122.5 (1C), 126.0 (2C), 127.7 (2C), 129.2 (1C), 131.5 (2C), 132.9 (2C), 142.8 (1C), 151.3 (1C), 157.1 (1C), 162.7 (1C), 194.4 (1C); IR (thin film) cm-1 3345, 3035, 2963, 1636, 1597, 1531, 1462, 1323, 1165; MS (ESI, positive mode) m/z [M+H]+ 386.13624 (C22H19F3NO2 requires 386.12896). ",Paragraph_2_IUPAC,4-Methoxyphenyl-[4-(4-trifluoromethylbenzylamino)phenyl]-methanone
"Paragraph_2_IUPAC: 6-Amino-4-benzyl-5-cyano-1-(4-(1-(phenylthiomethyl)-1H-1,2,3-triazol-4-yl)phenyl)-2(1H)-pyrimidin-one (4d). White solid, yield (75%), C27H21N7OS, M = 491 gmol−1, mp 262–264 °C, Rf = 0.30 (ethyl acetate/dichloromethane, 70:30, v/v); UV (MeOH) λmax nm (ε Lmol−1cm−1): 248 (61,129), 319 (18,412); IR (KBr) cm−1: 3,450–3,310 (NH2), 2,226 (CN), 1,685 (C=O), 1,647 (C=N); 1H-NMR: (DMSO-d6): δ = 3.9 (s, 2H, CH2), 6.23 (s, 2H, CH2), 7.2–7.91 (m, 16H, Ar-H + NH2), 8.64 (s, 1H, CHar-triazole); 13C-NMR (DMSO-d6): δ = 43.5 (CH2), 51.9 (CH2), 73.7 (C-5), 116.5 (CN), 120.5 (CHar-triazole), 126, 126.9, 127.2, 129.1, 129.9, 129.9, 129.9, 131.9, 132.2, 134.2, 136.4, 141.2, 146.7 (Cq-triazole), 153.5 (C-2), 159.3 (C-4), 175.6 (C-6); MS-(+)ESI: m/z (%): 983 ([2M + H]+, 22), 514 ([M + Na]+, 7), 492 ([M+H]+, 100), MS-(-)ESI: m/z (%): 464 (25), 354 (9). ",Paragraph_2_IUPAC,"6-Amino-4-benzyl-5-cyano-1-(4-(1-(phenylthiomethyl)-1H-1,2,3-triazol-4-yl)phenyl)-2(1H)-pyrimidin-one"
"Paragraph_2_IUPAC: 8-fluoro-2,3-dimethylquinolin-4-yl 2-fluorobenzoate (2c). White solid, yield 67.2%, mp 144~146 °C; 1H NMR (500 MHz, CDCl3) δ: 8.24–8.17 (m, 1H, Ph), 7.75–7.67 (m, 1H, Ph), 7.58 (d, J = 8.1 Hz, 1H, Ph), 7.44–7.28 (m, 4H, Ph), 2.81 (s, 3H, CH3), 2.35 (s, 3H, CH3); 13C NMR (151 MHz, CDCl3) δ: 162.54 (d, J = 262.0 Hz), 161.43 (d, J = 4.0 Hz), 160.87, 157.70 (d, J = 255.9 Hz), 151.46 (d, J = 4.6 Hz), 137.50 (d, J = 12.2 Hz), 136.04 (d, J = 9.1 Hz), 132.80, 126.11 (d, J = 8.2 Hz), 124.55 (d, J = 3.9 Hz), 123.39 (d, J = 2.4 Hz), 123.18, 117.53 (d, J = 22.1 Hz), 116.89 (d, J = 9.7 Hz), 116.75 (d, J = 4.7 Hz), 113.32 (d, J = 19.2 Hz), 24.32, 12.96; HRMS (ESI) for C18H13F2NO2 m/z: Calculated, 314.0987, found, 314.0993 [M + H]+. ",Paragraph_2_IUPAC,"8-fluoro-2,3-dimethylquinolin-4-yl 2-fluorobenzoate"
"Paragraph_2_IUPAC: Fenbufen (2.5 g, 9.83 mmol) dissolved in 40 mL of THF was added to NHS (2.7 g, 23.59 mmol). The mixture was stirred at room temperature for 30 min, and then N,N’-dicyclohexylcarbodiimide (2.43 g, 11.80 mmol) was dissolved in 30 mL of THF at 4 °C. The reaction mixture was stirred overnight. After completion of the reaction, the suspension was filtered, and the solvent was removed using a rotary evaporator. Open column chromatography (silica, DCM/MeOH, 99:1) was performed for purifying the crude product to afford 1 (1.65 g, 48%) as a white solid. 1H NMR (500 MHz, DMSO) δ 8.08 (d, J = 8.3 Hz, 2H), 7.84 (d, J = 8.0 Hz, 2H), 7.76 (d, J = 7.5 Hz, 2H), 7.52 (t, J = 7.6 Hz, 2H), 7.44 (t, J = 7.3 Hz, 1H), 3.48 (t, J = 6.2 Hz, 2H), 3.06 (t, J = 6.1 Hz, 2H), 2.82 (s, 4H). 13C NMR (126 MHz, DMSO) δ 196.68, 170.11, 168.70, 144.74, 138.82, 134.79, 129.08, 128.66, 128.41, 126.97, 126.91, 32.65, 25.42, 24.90. Anal. Calcd. for C20H17NO5: C, 68.37; H, 4.88; N, 3.99. Found: C, 68.35; H, 5.02; N, 4.08. ",Paragraph_2_IUPAC,1
