file_name,Paragraph,IUPAC,smiles,1H NMR text,13C NMR text,1H NMR conditions,1H NMR data,13C NMR conditions,13C NMR data
PMC6222382," (E)-3-(4-Hydroxy-3-methoxyphenyl)-1-(thiophen-2-yl)prop-2-en-1-one (1d). Greenish yellow solid; reaction time, 96 h; yield, 5%; melting point, 132.8–135.2 °C; 1H-NMR (400 MHz, DMSO-d6) δ 9.68 (s, 1 H, OH), 8.26 (d, 1 H, J = 4.0 Hz, 5′′-H), 7.98 (d, 1 H, J = 4.8 Hz, 3′′-H), 7.66 (d, 1 H, J = 15.6 Hz, 3-H), 7.61 (d, 1 H, J = 15.6 Hz, 2-H), 7.46 (s, 1 H, 2′-H), 7.28–7.24 (m, 2 H, 6′-H, 4′′-H), 6.80 (d, 1 H, J = 8.0 Hz, 5′-H), 3.83 (s, 3 H, OCH3); 13C-NMR (100 MHz, DMSO-d6) δ 182.2, 150.5, 148.7, 146.6, 144.7, 135.7, 133.7, 129.4, 126.7, 124.8, 119.1, 116.3, 112.5, 56.5; HR-MS (ESI+) m/z C14H13O3S (M + H)+ calcd 261.0580, obsd 261.0580. ",(E)-3-(4-Hydroxy-3-methoxyphenyl)-1-(thiophen-2-yl)prop-2-en-1-one,O=C(C1=CC=CS1)/C=C/C2=CC=C(O)C(OC)=C2,"1H-NMR (400 MHz, DMSO-d6) δ 9.68 (s, 1 H, OH), 8.26 (d, 1 H, J = 4.0 Hz, 5′′-H), 7.98 (d, 1 H, J = 4.8 Hz, 3′′-H), 7.66 (d, 1 H, J = 15.6 Hz, 3-H), 7.61 (d, 1 H, J = 15.6 Hz, 2-H), 7.46 (s, 1 H, 2′-H), 7.28–7.24 (m, 2 H, 6′-H, 4′′-H), 6.80 (d, 1 H, J = 8.0 Hz, 5′-H), 3.83 (s, 3 H, OCH3)","13C-NMR (100 MHz, DMSO-d6) δ 182.2, 150.5, 148.7, 146.6, 144.7, 135.7, 133.7, 129.4, 126.7, 124.8, 119.1, 116.3, 112.5, 56.5","400 MHz, DMSO-d6","9.68, 8.26, 7.98, 7.66, 7.61, 7.46, 7.28–7.24, 6.80, 3.83","100 MHz, DMSO-d6","182.2, 150.5, 148.7, 146.6, 144.7, 135.7, 133.7, 129.4, 126.7, 124.8, 119.1, 116.3, 112.5, 56.5"
PMC6222427,"4.10.6. 4-Bromo-7-(2,3,4,4a-tetrahydro-1H-1,4-methanocarbazol-9(9aH)-yl)-[1,2,5]thiadiazolo[3,4- d]pyridazine (11f) Red solid, 53 mg (79%), Rf = 0.4 (CH2Cl2). Mp = 187–189 °C. Eluent—CH2Cl2/hexane, 1:1 (v/v). IR νmax (KBr, cm−1): 2949, 2871, 1505, 1459, 1409, 1366, 1303, 1250, 1163, 1089, 884, 774, 508. 1H-NMR (300 MHz, CDCl3): δ 1.08 (d, J = 10.3 Hz, 1H), 1.35 (d, J = 9.8 Hz, 1H), 1.53–1.76 (m, 4H), 2.41 (d, J = 26.5 Hz, 2H), 3.51 (d, J = 7.5 Hz, 1H), 5.35 (d, J = 7.1 Hz, 1H), 7.05 (t, J = 7.3 Hz, 1H), 7.21 (d, J = 7.3 Hz, 1H), 7.26 (t, J = 8.1 Hz, 1H), 8.80 (d, J = 8.1 Hz, 1H). 13C-NMR (75 MHz, CDCl3): δ 25.4, 27.9, 31.8, 43.5, 43.6, 50.5, 69.4, 118.6, 124.2, 124.3, 127.7, 131.0, 135.2, 143.6, 144.8, 150.1, 150.9. HRMS (ESI-TOF), m/z: calcd for C17H1579BrN5S [M + H]+, 400.0226, found, 400.0232. MS (EI, 70 eV), m/z (I, %): 402 ([M + 2]+, 6), 401 ([M + 1]+, 24), 400 (M+, 5), 399 ([M − 1]+, 20), 320 (30), 184 (100), 143 (48), 116 (70). ","4-Bromo-7-(2,3,4,4a-tetrahydro-1H-1,4-methanocarbazol-9(9aH)-yl)-[1,2,5]thiadiazolo[3,4-d]pyridazine",BrC1=NN=C(N2C3C(C4)CCC4C3C5=C2C=CC=C5)C6=NSN=C61,"1H-NMR (300 MHz, CDCl3): δ 1.08 (d, J = 10.3 Hz, 1H), 1.35 (d, J = 9.8 Hz, 1H), 1.53–1.76 (m, 4H), 2.41 (d, J = 26.5 Hz, 2H), 3.51 (d, J = 7.5 Hz, 1H), 5.35 (d, J = 7.1 Hz, 1H), 7.05 (t, J = 7.3 Hz, 1H), 7.21 (d, J = 7.3 Hz, 1H), 7.26 (t, J = 8.1 Hz, 1H), 8.80 (d, J = 8.1 Hz, 1H)","13C-NMR (75 MHz, CDCl3): δ 25.4, 27.9, 31.8, 43.5, 43.6, 50.5, 69.4, 118.6, 124.2, 124.3, 127.7, 131.0, 135.2, 143.6, 144.8, 150.1, 150.9","300 MHz, CDCl3","1.08, 1.35, 1.53-1.76, 2.41, 3.51, 5.35, 7.05, 7.21, 7.26, 8.80","75 MHz, CDCl3","25.4, 27.9, 31.8, 43.5, 43.6, 50.5, 69.4, 118.6, 124.2, 124.3, 127.7, 131.0, 135.2, 143.6, 144.8, 150.1, 150.9"
PMC6222482,"3.2.1. (1,3-Dibenzyl-4,5-diphenylimidazol-2-ylidene)gold(I) Chloride (1) Prepared according to literature method [3]. 1H-NMR (300 MHz, CDCl3, δ ppm): 7.30 (t, J = 7.4 Hz, 2H, CHbenzyl), 7.25–7.16 (m, 10H, CHbenzyl + CHphenyl), 7.06–6.92 (m, 8H, CHphenyl), 5.44 (s, 4H, CH2). 13C-NMR (101 MHz, CDCl3, δ ppm): 171.6 (NCN), 135.8, 132.2, 130.9, 129.5, 128.8, 128.7, 128.2, 127.6, 127.4 (CHimidazol + CHphenyl + CHbenzyl), 53.2 (CH2). ","(1,3-Dibenzyl-4,5-diphenylimidazol-2-ylidene)gold(I) Chloride",[Au-]=C1N(CC2=CC=CC=C2)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N1CC5=CC=CC=C5.[Cl-],"1H-NMR (300 MHz, CDCl3, δ ppm): 7.30 (t, J = 7.4 Hz, 2H, CHbenzyl), 7.25–7.16 (m, 10H, CHbenzyl + CHphenyl), 7.06–6.92 (m, 8H, CHphenyl), 5.44 (s, 4H, CH2)","13C-NMR (101 MHz, CDCl3, δ ppm): 171.6 (NCN), 135.8, 132.2, 130.9, 129.5, 128.8, 128.7, 128.2, 127.6, 127.4 (CHimidazol + CHphenyl + CHbenzyl), 53.2 (CH2)","300 MHz, CDCl3, δ ppm","7.30, 7.25–7.16, 7.06–6.92, 5.44","101 MHz, CDCl3, δ ppm","171.6, 135.8, 132.2, 130.9, 129.5, 128.8, 128.7, 128.2, 127.6, 127.4, 53.2"
PMC6222558," 2,9,10-Trimethoxy-3-pivalylmethylenoxy protoberberine chloride (5b). JTH (373 mg, 1 mmol) was treated with 1-bromo-3,3-dimethyl-2-butanone (358.1 mg, 2 mmol) according to the general procedure to give the desired product 5b. Yield: 28%; yellow solid; m.p. 223–225 °C; 1H-NMR (500 MHz) δ 9.90 (s, 1H), 9.05 (s, 1H), 8.23 (d, J = 5.0 Hz, 1H), 8.05 (d, J = 5.0 Hz, 1H), 7.74 (s, 1H), 6.88 (s, 1H), 5.27 (s, 2H), 4.94 (t, J = 5.0 Hz, 2H), 4.10 (s, 3H), 4.08 (s, 3H), 3.96 (s, 3H), 3.18 (t, J = 5.0 Hz, 2H), 1.20 (s, 9H). 13C NMR (126 MHz) δ 209.2, 150.2, 145.0, 148.6, 145.3, 143.5, 137.5, 132.9, 128.1, 126.6, 123.3, 121.2, 119.8, 119.1, 112.0, 109.1, 68.8, 61.8, 56.9, 56.1, 55.2, 42.4, 25.8, 25.6 (3). 13C-NMR (126 MHz) δ 209.2, 150.2, 145.0, 148.6, 145.3, 143.5, 137.5, 132.9, 128.1, 126.6, 123.3, 121.2, 119.8, 119.1, 112.0, 109.1, 68.8, 61.8, 56.9, 56.1, 55.2, 42.4, 25.8, 25.6 (3). HRMS: calcd. for C26H30 ClNO5 [M]+: 436.2119, found: 436.2118. ","2,9,10-Trimethoxy-3-pivalylmethylenoxy protoberberine chloride",,"1H-NMR (500 MHz) δ 9.90 (s, 1H), 9.05 (s, 1H), 8.23 (d, J = 5.0 Hz, 1H), 8.05 (d, J = 5.0 Hz, 1H), 7.74 (s, 1H), 6.88 (s, 1H), 5.27 (s, 2H), 4.94 (t, J = 5.0 Hz, 2H), 4.10 (s, 3H), 4.08 (s, 3H), 3.96 (s, 3H), 3.18 (t, J = 5.0 Hz, 2H), 1.20 (s, 9H)","13C NMR (126 MHz) δ 209.2, 150.2, 145.0, 148.6, 145.3, 143.5, 137.5, 132.9, 128.1, 126.6, 123.3, 121.2, 119.8, 119.1, 112.0, 109.1, 68.8, 61.8, 56.9, 56.1, 55.2, 42.4, 25.8, 25.6 (3)",500 MHz,"9.90, 9.05, 8.23, 8.05, 7.74, 6.88, 5.27, 4.94, 4.10, 4.08, 3.96, 3.18, 1.20",126 MHz,"209.2, 150.2, 145.0, 148.6, 145.3, 143.5, 137.5, 132.9, 128.1, 126.6, 123.3, 121.2, 119.8, 119.1, 112.0, 109.1, 68.8, 61.8, 56.9, 56.1, 55.2, 42.4, 25.8, 25.6"
PMC6222704,"3.2.6. 6-(3,4-Dimethylphenyl)-3,4-dioxo-8-(thiophen-2-yl)-3,4-dihydro-2H-pyrido[2,1-c][1,2,4] triazine-9-carbonitrile (7) A mixture of compound 1 (0.01 mole) and diethyl oxalate (0.01 mole) in THF (50 mL) was refluxed for 24 h and then cooled. The solid obtained was filtered off and recrystallized from acetic acid to give 7. Yield 56%, m.p. 233–235 °C. IR spectrum (KBr, ν, cm−1): 3150 (NH); 2209 (CN); 1713 (C=O); 1675 (C=O). 1H-NMR (DMSO-d6, δ ppm): 2.26 (s, 3H, CH3), 2.28 (s, 3H, CH3), 7.25–7.34 (m, 3H, Ar–H), 7.49–7.61(m, 3H, Ar–H), 7.90 (s, 1H, pyridine–H), 9.02 (s, 1H, NH, D2O exchangeable). 13C-NMR spectrum (CDCl3, δ ppm): 19.33, 21.53, 115.53, 116.52, 116.73, 118.72, 122.28, 125.71, 125.90, 128.08, 128.50, 128.87, 129.49, 129.88, 130.67, 133.01, 137.67, 139.44, 159.68, 162.69; MS, m/z (%): 374 (M+, 22). Analysis for C20H14N4O2S: C, 64.16; H, 3.77; N, 14.96; S, 8.56. Found C, 63.88; H, 3.48; N, 14.68; S, 8.29. ","6-(3,4-Dimethylphenyl)-3,4-dioxo-8-(thiophen-2-yl)-3,4-dihydro-2H-pyrido[2,1-c][1,2,4] triazine-9-carbonitrile",N#CC1=C(C2=CC=CS2)C=C(C3=CC=C(C)C(C)=C3)N(C4=O)C1=NNC4=O,"1H-NMR (DMSO-d6, δ ppm): 2.26 (s, 3H, CH3), 2.28 (s, 3H, CH3), 7.25–7.34 (m, 3H, Ar–H), 7.49–7.61(m, 3H, Ar–H), 7.90 (s, 1H, pyridine–H), 9.02 (s, 1H, NH, D2O exchangeable)","13C-NMR spectrum (CDCl3, δ ppm): 19.33, 21.53, 115.53, 116.52, 116.73, 118.72, 122.28, 125.71, 125.90, 128.08, 128.50, 128.87, 129.49, 129.88, 130.67, 133.01, 137.67, 139.44, 159.68, 162.69","DMSO-d6, δ ppm","2.26, 2.28, 7.25–7.34, 7.49–7.61, 7.90, 9.02","CDCl3, δ ppm","19.33, 21.53, 115.53, 116.52, 116.73, 118.72, 122.28, 125.71, 125.90, 128.08, 128.50, 128.87, 129.49, 129.88, 130.67, 133.01, 137.67, 139.44, 159.68, 162.69"
PMC6222897,"4.2.4. Synthesis of 1-(3-Hydroxy-4-methoxyphenyl)prop-2-en-1-one (9b) Compound 9b was synthesized using the slightly modified reaction conditions of Diver et al. [24]. To an inert and oven-dried high-pressure flask, was added compound 17 (800 mg, 2.67 mmol), dry and degassed 1,2-dichloroethane (35 mL), and Hoveyda-Grubbs second generation catalyst 7 (42 mg, 0.067 mmol). The flask was purged with ethylene for 5 min, pressurized to 60 psi, and stirred at 40 °C for 12 h, after which time TLC analysis indicated consumption of the internal alkene 17. The pressure was then slowly vented, and the solvent was evaporated in vacuo. The crude product was then purified directly by silica gel column chromatography, to afford 9b (337 mg, 71%) as a white solid. 1H-NMR (400 MHz, acetone-d6): δ 7.59 (dd, J = 8.4, 2.0 Hz, 1H), 7.50 (d, J = 2.0 Hz, 1H), 7.33 (dd, J = 17.0, 10.4 Hz, 1H), 7.07 (d, J = 8.4 Hz, 1H), 6.33 (dd, J = 17.0, 2.0 Hz, 1H), 5.84 (dd, J = 10.4, 2.0 Hz, 1H), 3.94 (s, 3H); 13C NMR (100 MHz, acetone-d6): δ 188.9, 153.0, 147.7, 133.2, 131.8 128.9, 122.8, 115.7, 111.8, 56.5; HRMS calcd. for C10H11O3 [M + H]+ 179.0708, found 179.0719. Anal. calcd. for C10H10O3: C, 67.41; H, 5.66. Found: C, 67.35; H, 5.59. ",1-(3-Hydroxy-4-methoxyphenyl)prop-2-en-1-one,C=CC(C1=CC=C(OC)C(O)=C1)=O,"1H-NMR (400 MHz, acetone-d6): δ 7.59 (dd, J = 8.4, 2.0 Hz, 1H), 7.50 (d, J = 2.0 Hz, 1H), 7.33 (dd, J = 17.0, 10.4 Hz, 1H), 7.07 (d, J = 8.4 Hz, 1H), 6.33 (dd, J = 17.0, 2.0 Hz, 1H), 5.84 (dd, J = 10.4, 2.0 Hz, 1H), 3.94 (s, 3H)","13C NMR (100 MHz, acetone-d6): δ 188.9, 153.0, 147.7, 133.2, 131.8 128.9, 122.8, 115.7, 111.8, 56.5","400 MHz, acetone-d6","7.59, 7.50, 7.33, 7.07, 6.33, 5.84, 3.94","100 MHz, acetone-d6","188.9, 153.0, 147.7, 133.2, 131.8 128.9, 122.8, 115.7, 111.8, 56.5"
PMC6222910," Dimethyl 1-(N-pivaloylamino)ethanephosphonate (12a) [7]. Colorless crystals (50.4 mg, 85% yield), mp 125.5–127.5 °C. 1H-NMR (CDCl3) δ 5.96 (d, J = 8.1 Hz, 1H, NH), 4.65–4.49 (m, 1H, CαH), 3.78 (d, J = 4.4 Hz, 3H, OCH3), 3.75 (d, J = 4.3 Hz, 3H, OCH3), 1.38 (dd, J1 = 16.8, J2 = 7.4 Hz, 3H, CH3), 1.21 (s, 9H, t-Bu) ppm; 13C-NMR (CDCl3) δ 177.6 (d, J = 5.1 Hz, C = O), 53.1 (d, J = 7.0 Hz, OCH3), 52.9 (d, J = 6.5 Hz, OCH3), 40.1 (d, J = 156.4 Hz, CαH), 38.6 (C(CH3)3), 27.3 (C(CH3)3), 15.5 (CH3) ppm; 31P-NMR (CDCl3) δ 28.5 ppm; IR (ATR) 3281, 2956, 1659, 1529, 1224, 1205, 1057, 1026, 1007 cm−1. ",Dimethyl 1-(N-pivaloylamino)ethanephosphonate,CC(P(OC)(OC)=O)NC(C(C)(C)C)=O,"1H-NMR (CDCl3) δ 5.96 (d, J = 8.1 Hz, 1H, NH), 4.65–4.49 (m, 1H, CαH), 3.78 (d, J = 4.4 Hz, 3H, OCH3), 3.75 (d, J = 4.3 Hz, 3H, OCH3), 1.38 (dd, J1 = 16.8, J2 = 7.4 Hz, 3H, CH3), 1.21 (s, 9H, t-Bu) ppm","13C-NMR (CDCl3) δ 177.6 (d, J = 5.1 Hz, C = O), 53.1 (d, J = 7.0 Hz, OCH3), 52.9 (d, J = 6.5 Hz, OCH3), 40.1 (d, J = 156.4 Hz, CαH), 38.6 (C(CH3)3), 27.3 (C(CH3)3), 15.5 (CH3) ppm",CDCl3,"5.96, 4.65–4.49, 3.78, 3.75, 1.38, 1.21",CDCl3,"177.6, 53.1, 52.9, 40.1, 38.6, 27.3, 15.5"
PMC6222915,"3.3.1. Synthesis of 2-((2-(benzothiazole-2yl)benzylidene)amino)benzoic acid, AbTCA To prepare AbTCA, 2-(2-aminophenyl)benzothiazole (500 mg, 2.21 mmol) and 2-carboxy-benzaldehyde (332 mg, 2.21 mmol) in ethanol were combined in a 100 mL round-bottomed flask (Scheme S1). The reaction mixture was refluxed at 80 °C for about 4 h. The precipitate was obtained and it was filtered, washed with water, and dried under vacuum. The spectral measurements were carried out without any purification. Yield: 563 mg (68%). 1H-NMR (CDCl3, 500 MHz): δ 10.12 (br d, 1H, OH), 6.9 (d, 1H, CH=N), 8.0 (d, 1H, Ar), 7.82–7.88 (m, 3H, Ar), 7.70–7.81 (m, 2H, Ar), 7.61–7.63 (m, 1H, Ar), 7.41–7.46 (m, 1H, Ar), 7.26–7.39 (m, 3H, Ar), 6.98–7.01 (m, 1H, Ar) ppm (Figure S1); 13C-NMR (CDCl3, 500 MHz): δ 169.37, 168.83, 153.00, 145.72, 144.12, 134.36, 133.13, 132.25, 130.73, 130.42, 128.07, 126.18, 125.79, 125.30, 122.96, 122.31, 121.26, 119.51, 116.97, 114.05, 86.72 ppm (Figure S2). ESI mass (positive mode, m/z): calculated: 358.08, found 359.2 for [M + 1] (Figure S3). HRESI-Mass (m/z) (C21H15N2O2S): Calculated: 358.0776, found 359.0849 for [M + 1] (Figure S4). The purity of AbTCA was determined to be >95% by analytical HPLC analysis (Figure S5).  3.3.2. Synthesis of Cu(II)-AbTCA",2-((2-(benzothiazole-2yl)benzylidene)amino)benzoic acid,O=C(O)C1=CC=CC=C1N=CC2=CC=CC=C2C3=NC4=CC=CC=C4S3,"1H-NMR (CDCl3, 500 MHz): δ 10.12 (br d, 1H, OH), 6.9 (d, 1H, CH=N), 8.0 (d, 1H, Ar), 7.82–7.88 (m, 3H, Ar), 7.70–7.81 (m, 2H, Ar), 7.61–7.63 (m, 1H, Ar), 7.41–7.46 (m, 1H, Ar), 7.26–7.39 (m, 3H, Ar), 6.98–7.01 (m, 1H, Ar) ppm (Figure S1)","13C-NMR (CDCl3, 500 MHz): δ 169.37, 168.83, 153.00, 145.72, 144.12, 134.36, 133.13, 132.25, 130.73, 130.42, 128.07, 126.18, 125.79, 125.30, 122.96, 122.31, 121.26, 119.51, 116.97, 114.05, 86.72 ppm (Figure S2)","CDCl3, 500 MHz","10.12, 6.9, 8.0, 7.82–7.88, 7.70–7.81, 7.61–7.63, 7.41–7.46, 7.26–7.39, 6.98–7.01","CDCl3, 500 MHz","169.37, 168.83, 153.00, 145.72, 144.12, 134.36, 133.13, 132.25, 130.73, 130.42, 128.07, 126.18, 125.79, 125.30, 122.96, 122.31, 121.26, 119.51, 116.97, 114.05, 86.72"
PMC6225111," (2R,3R)-3-hydroxy-2-(phenazine-4-carboxamido)butanoic acid (4f): Yellow solid; yield: 72%; m.p. 227–229 °C; 1H-NMR (400 MHz, DMSO-d6) δ 11.49 (d, J = 7.6 Hz, 1H, CONH), 8.81 (dd, J = 7.2, 1.5 Hz, 1H, Phenazine-H), 8.47 (dd, J = 8.8, J = 1.6 Hz, 1H, Phenazine-H), 8.37–8.19 (m, 2H, Phenazine-H), 8.17–7.97 (m, 3H, Phenazine-H), 4.57 (dd, J = 7.6, J = 2.4 Hz, acylamino-CH), 4.44 (m, 1H, hydroxyl-CH), 1.29 (d, J = 6.4 Hz, 3H, CH3). 13C-NMR (101 MHz, DMSO-d6) δ 172.65, 164.46, 143.36, 142.99, 141.25, 140.55, 135.28, 133.96, 132.80, 132.27, 130.90, 129.73, 129.40, 129.35, 66.97, 59.16, 21.62. HRMS calcd for C17H15N3O4 [M + H]+: 326.1135, found 326.1129. ","(2R,3R)-3-hydroxy-2-(phenazine-4-carboxamido)butanoic acid",C[C@@H](O)[C@@H](NC(C1=CC=CC2=NC3=CC=CC=C3N=C12)=O)C(O)=O,"1H-NMR (400 MHz, DMSO-d6) δ 11.49 (d, J = 7.6 Hz, 1H, CONH), 8.81 (dd, J = 7.2, 1.5 Hz, 1H, Phenazine-H), 8.47 (dd, J = 8.8, J = 1.6 Hz, 1H, Phenazine-H), 8.37–8.19 (m, 2H, Phenazine-H), 8.17–7.97 (m, 3H, Phenazine-H), 4.57 (dd, J = 7.6, J = 2.4 Hz, acylamino-CH), 4.44 (m, 1H, hydroxyl-CH), 1.29 (d, J = 6.4 Hz, 3H, CH3)","13C-NMR (101 MHz, DMSO-d6) δ 172.65, 164.46, 143.36, 142.99, 141.25, 140.55, 135.28, 133.96, 132.80, 132.27, 130.90, 129.73, 129.40, 129.35, 66.97, 59.16, 21.62","400 MHz, DMSO-d6","11.49, 8.81, 8.47, 8.37–8.19, 8.17–7.97, 4.57, 4.44, 1.29","101 MHz, DMSO-d6","172.65, 164.46, 143.36, 142.99, 141.25, 140.55, 135.28, 133.96, 132.80, 132.27, 130.90, 129.73, 129.40, 129.35, 66.97, 59.16, 21.62"
PMC6225118,"3.2.2. Stepwise Synthesis for (5) 6-(5-(Quinolin-2-yl)-1,2,4-oxadiazol-3-yl)picolinonitrile (15). Quinoline-2-carboxylic acid (0.12 g, 0.68 mmol) and 1,1′-carbonyldiimidazole (CDI, 0.11 g, 0.68 mmol) were dissolved in DMF (10 mL) and stirred at room temperature for 30 min. (Z)-6-cyano-N′-hydroxypicolinimidamide (0.1 g, 0.62 mmol) was added and the reaction mixture was stirred at room temperature overnight. CDI (0.11 g, 0.68 mmol) was further added and the reaction mixture was heated at 150 °C for 6 h. After cooling down, the reaction mixture was poured into water to induce the precipitation of a pale yellow solid, purified by Isolera ONE (CHCl3:MeOH gradient) obtaining a white solid (0.11 g; yield 60%), which was filtered and characterized as pure product. m.p. > 300  °C (dec.); 1H-NMR (300 MHz, [D6]DMSO, 25 °C, TMS): δ = 8.73 (d, 3J(H,H) = 8.5 Hz, 1 H), 8.53 (d, 3J(H,H) = 7.8 Hz, 1 H), 8.43 (d, 3J(H,H) = 7.8 Hz, 1 H), 8.36 (t, 3J(H,H) = 7.8, 1 H), 8.27 (d, 3J(H,H) = 8.4 Hz, 2 H), 8.17 (d, 3J(H,H) = 7.9 Hz, 1 H), 7.96 (t, 3J(H,H) = 7.2, 3J(H,H) = 8.1 Hz, 1 H), 7.82 (t, 3J(H,H) = 7.4, 3J(H,H) = 7.6 Hz, 1 H). 13C-NMR (75 MHz, [D6]DMSO, 25 °C, TMS): δ = 175.2, 167.5, 147.4, 147.0, 142.6, 139.9, 138.4, 133.4, 131.2, 130.9, 129.7, 128.9, 128.2, 127.1, 120.6, 116.8. ","6-(5-(Quinolin-2-yl)-1,2,4-oxadiazol-3-yl)picolinonitrile",N#CC1=NC(C2=NOC(C3=NC4=CC=CC=C4C=C3)=N2)=CC=C1,"1H-NMR (300 MHz, [D6]DMSO, 25 °C, TMS): δ = 8.73 (d, 3J(H,H) = 8.5 Hz, 1 H), 8.53 (d, 3J(H,H) = 7.8 Hz, 1 H), 8.43 (d, 3J(H,H) = 7.8 Hz, 1 H), 8.36 (t, 3J(H,H) = 7.8, 1 H), 8.27 (d, 3J(H,H) = 8.4 Hz, 2 H), 8.17 (d, 3J(H,H) = 7.9 Hz, 1 H), 7.96 (t, 3J(H,H) = 7.2, 3J(H,H) = 8.1 Hz, 1 H), 7.82 (t, 3J(H,H) = 7.4, 3J(H,H) = 7.6 Hz, 1 H)","13C-NMR (75 MHz, [D6]DMSO, 25 °C, TMS): δ = 175.2, 167.5, 147.4, 147.0, 142.6, 139.9, 138.4, 133.4, 131.2, 130.9, 129.7, 128.9, 128.2, 127.1, 120.6, 116.8","300 MHz, [D6]DMSO, 25 °C, TMS","8.73, 8.53, 8.43, 8.36, 8.27, 8.17, 7.96, 7.82","75 MHz, [D6]DMSO, 25 °C, TMS","175.2, 167.5, 147.4, 147.0, 142.6, 139.9, 138.4, 133.4, 131.2, 130.9, 129.7, 128.9, 128.2, 127.1, 120.6, 116.8"
