file_name,Paragraph,IUPAC,smiles,1H NMR text,13C NMR text,1H NMR conditions,1H NMR data,13C NMR conditions,13C NMR data
PMC10095986,"3.1.16. (R)-2-Amino-2-((R)-3-bromo-4,5-dihydroisoxazol-5-yl)acetic acid (1d) Compound 1d was prepared according to general procedure B from intermediate 8d (200 mg, 0.62 mmol). 1d was obtained as a white solid, which was recrystallized from MeOH/H2O (101 mg, 0.45 mmol, 73% yield). [α]D20 = −170.4 (c = 0.1, water). 1H NMR (300 MHz, D2O) δ 5.15 (ddd, J = 11.0, 8.2, 3.3 Hz, 1H), 3.99 (d, J = 3.3 Hz, 1H), 3.52 (dd, J = 17.1, 11.0 Hz, 1H), 3.41 (dd, J = 17.1, 8.2 Hz, 1H). Protons of NH2 and COOH not seen. 13C NMR (75 MHz, D2O) δ 170.0, 140.9, 79.7, 56.1, 42.9. The NMR data were consistent with those reported in the literature for the corresponding enantiomer 1a [13]. ","(R)-2-Amino-2-((R)-3-bromo-4,5-dihydroisoxazol-5-yl)acetic acid",O=C(O)[C@H](N)[C@H]1CC(Br)=NO1,"1H NMR (300 MHz, D2O) δ 5.15 (ddd, J = 11.0, 8.2, 3.3 Hz, 1H), 3.99 (d, J = 3.3 Hz, 1H), 3.52 (dd, J = 17.1, 11.0 Hz, 1H), 3.41 (dd, J = 17.1, 8.2 Hz, 1H)","13C NMR (75 MHz, D2O) δ 170.0, 140.9, 79.7, 56.1, 42.9","300 MHz, D2O","5.15, 3.99, 3.52, 3.41 . Protons of NH2","75 MHz, D2O","170.0, 140.9, 79.7, 56.1, 42.9"
PMC6332379,"3.1.2. Synthesis of 3-Oxo-3H-benzo[f]chromene-2-carboxylic Acid (3) The synthesis of 3-oxo-3H-benzo[f]chromene-2-carboxylic acid (3) was described elsewhere [17], but is summarized here for convenience. Briefly, ethanol (85 mL), Meldrum’s acid (6.5 g, 45 mmol), 2-hydroxy-1-naphthaldehyde (7.75 g, 45 mmol), and a catalytic amount of pyridine (0.5 mL) were in sequence added into a 100 mL flask. The mixture was stirred at 80 °C for 4 h. After cooling to room temperature, the mixture was poured into an ice-water bath and recrystallized. The crude was washed with ethanol repeatedly and dried in vacuo to afford the desired product 3-oxo-3H-benzo[f]chromene-2-carboxylic acid (3) as a yellow solid (Yield: 93.1%). M.p.: 235.1–236.5 °C (Lit. 234–236 °C [29]). 1H-NMR (DMSO-d6): δ 9.34 (s, 1H), 8.57 (d, J = 8.4 Hz, 1H), 8.29 (d, J = 9.0 Hz, 1H), 8.06 (d, J = 8.0 Hz, 1H), 7.78–7.73 (m, 1H), 7.64 (t, J = 7.2 Hz, 1H), 7.57 (d, J = 9.0 Hz, 1H). 13C-NMR (DMSO-d6): δ 164.78, 157.24, 155.49, 144.18, 136.30, 130.27, 129.50, 129.45, 126.88, 122.77, 117.68, 116.94, 112.55. ESI-HRMS (m/z): calcd. for C14H8O4 [M − H]−: 239.03443; found: 239.03429. ",3-oxo-3H-benzo[f]chromene-2-carboxylic acid,O=C(C(C1=O)=CC2=C(O1)C=CC3=CC=CC=C23)O,"1H-NMR (DMSO-d6): δ 9.34 (s, 1H), 8.57 (d, J = 8.4 Hz, 1H), 8.29 (d, J = 9.0 Hz, 1H), 8.06 (d, J = 8.0 Hz, 1H), 7.78–7.73 (m, 1H), 7.64 (t, J = 7.2 Hz, 1H), 7.57 (d, J = 9.0 Hz, 1H)","13C-NMR (DMSO-d6): δ 164.78, 157.24, 155.49, 144.18, 136.30, 130.27, 129.50, 129.45, 126.88, 122.77, 117.68, 116.94, 112.55",DMSO-d6,"9.34, 8.57, 8.29, 8.06, 7.78–7.73, 7.64, 7.57",DMSO-d6,"164.78, 157.24, 155.49, 144.18, 136.30, 130.27, 129.50, 129.45, 126.88, 122.77, 117.68, 116.94, 112.55"
PMC10140843," Starting from 5-formyl-2-thienylboronic acid (72 mg, 0.46 mmol), thienylbenzocrown 1d was obtained as a light yellow solid (180 mg, 93%). M.p. 175.9–177.1 °C. 1H NMR (400 MHz, CDCl3): δ 3.69–3.79 (m, 12H, 6 × CH2), 3.92–3.96 (m, 4H, 2 × CH2), 4.20–4.24 (m, 4H, 2 × CH2), 6.91 (d, J 8.4 Hz, 1H, H6′), 7.17 (d, J 1.6 Hz, 1H, H3′), 7.25 (dd, J 8.4 and 1.6 Hz, 1H, H5′), 7.29 (d, J 3.6 Hz, 1H, H4), 7.71 (d, J 3.6 Hz, 1H, H3), 9.86 (s, 1H, CHO) ppm. 13C NMR (100.6 MHz, CDCl3): δ 69.04 (CH2), 69.37 (CH2), 69.43 (CH2), 69.48 (CH2), 69.56 (CH2), 70.72 (CH2), 70.74 (CH2), 70.76 (CH2), 70.87 (CH2), 70.89 (CH2), 112.40 (C3′), 113.92 (C6′), 119.95 (C5′), 123.22 (C4), 126.36 (C2), 137.54 (C3), 141.61 (C5), 149.17 (C2′), 150.36 (C1′), 154.48 (C4′), 182.62 (CHO) ppm. FTIR (KBr disc): ν 2917, 1660, 1629, 1535, 1506, 1447, 1348, 1268, 1248, 956, 865, 798, 753 cm−1. MS (ESI) m/z (%): 423 (M++1, 81), 422 (M+, 55). ",thienylbenzocrown,,"1H NMR (400 MHz, CDCl3): δ 3.69–3.79 (m, 12H, 6 × CH2), 3.92–3.96 (m, 4H, 2 × CH2), 4.20–4.24 (m, 4H, 2 × CH2), 6.91 (d, J 8.4 Hz, 1H, H6′), 7.17 (d, J 1.6 Hz, 1H, H3′), 7.25 (dd, J 8.4 and 1.6 Hz, 1H, H5′), 7.29 (d, J 3.6 Hz, 1H, H4), 7.71 (d, J 3.6 Hz, 1H, H3), 9.86 (s, 1H, CHO) ppm","13C NMR (100.6 MHz, CDCl3): δ 69.04 (CH2), 69.37 (CH2), 69.43 (CH2), 69.48 (CH2), 69.56 (CH2), 70.72 (CH2), 70.74 (CH2), 70.76 (CH2), 70.87 (CH2), 70.89 (CH2), 112.40 (C3′), 113.92 (C6′), 119.95 (C5′), 123.22 (C4), 126.36 (C2), 137.54 (C3), 141.61 (C5), 149.17 (C2′), 150.36 (C1′), 154.48 (C4′), 182.62 (CHO) ppm","400 MHz, CDCl3","3.69–3.79, 3.92–3.96, 4.20–4.24, 6.91, 7.17, 7.25, 7.29, 7.71, 9.86","100.6 MHz, CDCl3","69.04, 69.37, 69.43, 69.48, 69.56, 70.72, 70.74, 70.76, 70.87, 70.89, 112.40, 113.92, 119.95, 123.22, 126.36, 137.54, 141.61, 149.17, 150.36, 154.48, 182.62"
PMC10096064,"Synthesis of 4,5-dihydro-6,6-dimethyl-6H-2-pyran[b-4,3]naphth[1,2-d]imidazole (IM1) The reaction was heated to 70 °C for 4.0 h. Compound IM1 was obtained as a yellow crystalline solid (131 mg, 0.519 mmol, yield: 52.0%), mp: 255–259 °C. 1H NMR (400 MHz, DMSO-d6) δ [ppm]: 8.30 (d, J = 8.0 Hz, 1H), 8.17 (s, 1H), 8.12 (d, 1H), 7.54 (t, 1H), 7.42 (t, 1H), 2.98 (t, 2H), 1.94 (t, 2H), 1.40 (s, 6H). 13C NMR (100 MHz, DMSO-d6) δ [ppm]: 143.9, 132.9, 138.4, 127.7, 125.7, 124.1, 123.3, 122.7, 122.1, 121.0, 104.4, 74.2, 31.5, 26.5, 18.5. IR (KBr) ʋmax/cm−1: 3435, 3088, 2971, 2925, 2841, 1608, 1538, 1484, 1453, 1362, 1252, 1164, 1122, 1054, 947, and 770, Figure S1. ","4,5-dihydro-6,6-dimethyl-6H-2-pyran[b-4,3]naphth[1,2-d]imidazole",,"1H NMR (400 MHz, DMSO-d6) δ [ppm]: 8.30 (d, J = 8.0 Hz, 1H), 8.17 (s, 1H), 8.12 (d, 1H), 7.54 (t, 1H), 7.42 (t, 1H), 2.98 (t, 2H), 1.94 (t, 2H), 1.40 (s, 6H)","13C NMR (100 MHz, DMSO-d6) δ [ppm]: 143.9, 132.9, 138.4, 127.7, 125.7, 124.1, 123.3, 122.7, 122.1, 121.0, 104.4, 74.2, 31.5, 26.5, 18.5","400 MHz, DMSO-d6","8.30, 8.17, 8.12, 7.54, 7.42, 2.98, 1.94, 1.40","100 MHz, DMSO-d6","143.9, 132.9, 138.4, 127.7, 125.7, 124.1, 123.3, 122.7, 122.1, 121.0, 104.4, 74.2, 31.5, 26.5, 18.5"
PMC10004488," tert-Butyl-2-(4-(5,5-difluoro-7-(4-methoxyphenyl)-1,9-diphenyl-5H-4λ4,5λ4-dipyrrolo[1,2-c:2′,1′-f][1–3,5]triazaborinin-3-yl)phenoxy)acetate (3). A solution of 2 (146.7 mg, 0.27 mmol, 1.0 eq.) and CsF (168.4 mg, 1.108 mmol, 4.0 eq.) was stirred in anhydrous DMSO (8 mL) and treated with tert-butylbromoacetate (0.07 mL, 0.443 mmol, 1.6 eq.) under N2. The reaction was heated at 40 °C for 2 h. The mixture was cooled in an ice bath to 0 °C, saturated aqueous NH4Cl (40 mL) was added and the product extracted with ethyl acetate (2 × 40 mL). The combined organic layers were washed with brine (80 mL), dried over anhydrous Na2SO4, filtered and the solvent removed by rotary evaporation. The crude residue was purified by flash silica gel chromatography using CH2Cl2 as eluent affording a red metallic solid 3 (153.1 mg, 84%), mp = 153–155 °C. 1H NMR (400 MHz, CDCl3) δ: 8.13–8.02 (m, 8H), 7.50–7.38 (m, 6H), 7.05 (s, 1H), 7.04–6.98 (m, 6H), 4.59 (s, 2H), 3.89 (s, 3H), 1.51 (s, 9H) ppm; 13C NMR (101 MHz, CDCl3) δ: 167.7, 162.2, 160.2, 158.7, 158.3, 157.8, 145.7, 145.3, 143.6, 143.2, 132.6, 132.6, 131.9, 131.7, 129.4, 129.4, 129.4, 128.7, 125.2, 124.2, 119.0, 118.7, 116.0, 114.9, 114.4, 82.9, 65.8, 55.6, 28.2 ppm; 19F NMR (376 MHz, CDCl3) δ: −131.87 (q) ppm. HRMS (ESI+): m/z calcd. for C39H34BF2N3NaO4 [M + Na]+ 680.2509; found 680.2511. ","tert-Butyl-2-(4-(5,5-difluoro-7-(4-methoxyphenyl)-1,9-diphenyl-5H-4λ4,5λ4-dipyrrolo[1,2-c:2′,1′-f][1–3,5]triazaborinin-3-yl)phenoxy)acetate",,"1H NMR (400 MHz, CDCl3) δ: 8.13–8.02 (m, 8H), 7.50–7.38 (m, 6H), 7.05 (s, 1H), 7.04–6.98 (m, 6H), 4.59 (s, 2H), 3.89 (s, 3H), 1.51 (s, 9H) ppm","13C NMR (101 MHz, CDCl3) δ: 167.7, 162.2, 160.2, 158.7, 158.3, 157.8, 145.7, 145.3, 143.6, 143.2, 132.6, 132.6, 131.9, 131.7, 129.4, 129.4, 129.4, 128.7, 125.2, 124.2, 119.0, 118.7, 116.0, 114.9, 114.4, 82.9, 65.8, 55.6, 28.2 ppm","400 MHz, CDCl3","8.13–8.02, 7.50–7.38, 7.05, 7.04–6.98, 4.59, 3.89, 1.51","101 MHz, CDCl3","167.7, 162.2, 160.2, 158.7, 158.3, 157.8, 145.7, 145.3, 143.6, 143.2, 132.6, 132.6, 131.9, 131.7, 129.4, 129.4, 129.4, 128.7, 125.2, 124.2, 119.0, 118.7, 116.0, 114.9, 114.4, 82.9, 65.8, 55.6, 28.2"
PMC10051910," (4R*, 8S*)-4,8-Dimethyl-2,6,9-trithia-1,3,5,7-tetraarsatricyclo[3.3.1.03,7]nonane (10). 1H-NMR (400 MHz, CDCl3) δ: 3.97 (q, J = 7.9 Hz, 1H), 2.51 (q, J = 7.9 Hz, 1H), 2.12 (d, J = 7.9 Hz, 3H), 1.11 (d, J = 7.9 Hz, 3H); 13C-NMR (100 MHz, CDCl3) δ: 48.8, 43.0, 20.0, 13.3. HSQC correlations: 3.97/48.8, 2.12/13.3, 1.11/20.0. ","(4R*, 8S*)-4,8-Dimethyl-2,6,9-trithia-1,3,5,7-tetraarsatricyclo[3.3.1.03,7]nonane",C[C@@H]1[As]2S[As]3[C@@H](C)[As]2S[As]1S3,"1H-NMR (400 MHz, CDCl3) δ: 3.97 (q, J = 7.9 Hz, 1H), 2.51 (q, J = 7.9 Hz, 1H), 2.12 (d, J = 7.9 Hz, 3H), 1.11 (d, J = 7.9 Hz, 3H)","13C-NMR (100 MHz, CDCl3) δ: 48.8, 43.0, 20.0, 13.3","400 MHz, CDCl3","3.97, 2.51, 2.12, 1.11","100 MHz, CDCl3","48.8, 43.0, 20.0, 13.3"
PMC10003900,"4.1.4. 26,27-Dihidroxy-3,6,9,12,15-pentaazatricyclo[20.3.1.1(17,21)]eicosaepta-1(26),17,19,21(27),22,24-hexaenepentahidrochloride (L2·5HCl)  L2·5HCl was obtained following the same procedure used for L1·4HCl (5 (1.5 g, 1.2 mmol); L2·5HCl (490 mg white solid, 68%)). Anal. Calcd. for C22H38N5O2Cl5: C 45.41; H 6.58; N 12.04. Found: C 45.4; H 6.5; N 12.1. MS m/z (ESI): 400.5 (M + H+). 1H NMR (D2O, pH 2, 25 °C): δ = 3.33–3.42 (m, 8H), 3.45–3.53 (m, 8H), 4.37 (s, 4H), 7.11 (t, J = 7.7 Hz, 2H), 7.34 (dd, J = 1.7, 7.6 Hz, 2H), 7.41 (dd, J = 1.5, 7.6 Hz, 2H) ppm. 13C NMR: δ = 42.4, 43.7, 44.2, 44.6, 47.3, 118.6, 122.0, 125.1, 132.4, 133.7, 152.4 ppm.  4.2. Potentiometric Measurements ","26,27-Dihidroxy-3,6,9,12,15-pentaazatricyclo[20.3.1.1(17,21)]eicosaepta-1(26),17,19,21(27),22,24-hexaenepentahidrochloride",,"1H NMR (D2O, pH 2, 25 °C): δ = 3.33–3.42 (m, 8H), 3.45–3.53 (m, 8H), 4.37 (s, 4H), 7.11 (t, J = 7.7 Hz, 2H), 7.34 (dd, J = 1.7, 7.6 Hz, 2H), 7.41 (dd, J = 1.5, 7.6 Hz, 2H) ppm","13C NMR: δ = 42.4, 43.7, 44.2, 44.6, 47.3, 118.6, 122.0, 125.1, 132.4, 133.7, 152.4 ppm","D2O, pH 2, 25 °C","3.33–3.42, 3.45–3.53, 4.37, 7.11, 7.34, 7.41",,"42.4, 43.7, 44.2, 44.6, 47.3, 118.6, 122.0, 125.1, 132.4, 133.7, 152.4"
PMC10049112," 5,7-Dinitrobenzotriazole (DBT) was synthesized according to the modified literature procedure [16]. A mixture of 70% HNO3 (23 mL) and concentrated H2SO4 (23 mL) was added dropwise to the suspension of benzotriazole (20 g, 0.168 mol) in H2SO4 (80 mL) at 15–20 °C. After stirring for 24 h at 20 °C, the mixture was poured into ice water; a precipitate was filtered off, washed with water, and dried on air to give 4-nitrobenzotriazole (25.5 g, 92.5%), which was used without further purification. Crude 4-nitrobenzotriazole (10 g, 47.8 mmol) was suspended in concentrated H2SO4 (120 mL), cooled to 0 °C, and then fuming HNO3 (20 mL, d 1.5 g/cm3) was added dropwise. A reaction mixture was stirred for 1 h at 20 °C and for 3 h at 120 °C. After cooling to 20 °C, it was poured into the crushed ice. The resulting precipitate was filtered off, thoroughly washed with H2O, dried on air, and recrystallized from EtOH to give 5,7-dinitrobenzotriazole (7.7 g, 57%) as a white solid. 1H NMR (DMSO-d6): 9.00 (s, 1H); 9.50 (s, 1H). 13C NMR (DMSO-d6): 118.9, 123.2, 129.9, 133.2, 143.6, 146.5. HRMS (ESI), found: m/z 210.0257 [M+H]; calculated for C6H3N5O4: 210.0258. Elemental analysis calculated (%) for C6H3N5O4: C, 34.46; H, 1.45; N, 33.49; found: C, 34.57; H, 1.39; N, 33.60.  3.2. Thermoanalytical Experiments ","5,7-Dinitrobenzotriazole",O=[N+](C1=C(NN=N2)C2=CC([N+]([O-])=O)=C1)[O-],"1H NMR (DMSO-d6): 9.00 (s, 1H); 9.50 (s, 1H)","13C NMR (DMSO-d6): 118.9, 123.2, 129.9, 133.2, 143.6, 146.5",DMSO-d6,"9.00, 9.50",DMSO-d6,"118.9, 123.2, 129.9, 133.2, 143.6, 146.5"
PMC10091703," Ethyl 2‐(5‐methoxypyridin‐2‐yl)acetate (37): nBuLi (18.2 mL, 2.5 M solution in hexane, 45.5 mmol, 3.5 equiv) was added dropwise to a stirred solution of diisopropylamine (6.6 mL, 46.8 mol, 3.6 equiv) in 20 ml anhydrous THF at −78 °C under argon. The resulting solution was slowly warmed to room temperature and was added dropwise over 1 h to a stirred solution of 5‐methoxy‐2‐methylpyridine (1.6 g, 26.0 mmol) and anhydrous diethylcarbonate (3.2 ml, 26.0 mmol, 2.0 equiv) in 26 ml anhydrous THF at −78 °C. After 2 h of reaction, the solution was slowly warmed to room temperature and a saturated solution of NH4Cl was added. The resultant mixture was extracted with EtOAc (3x), and the combined organic layers were dried over MgSO4, filtered, and concentrated under reduced pressure. The residue was purified by flash column chromatography on silica gel (cyclohexane/EtOAc=6 : 4 v/v) to afford 37 (807 mg, 4.2 mmol, 32 %) as a light‐yellow oil. 1H NMR (CDCl3, 300 MHz): δ [ppm]=8.25 (dd, J=2.8, 0.9 Hz, 1H), 7.28–7.20 (m, 2H), 4.18 (q, J=7.1 Hz, 2H), 3.86 (s, 3H), 3.82 (s, 2H), 1.26 (t, J=7.1 Hz, 3H). 13C NMR (CDCl3, 75 MHz): δ [ppm]=170.91, 154.88, 146.23, 136.13, 124.52, 122.22, 61.17, 55.83, 42.59, 14.28. HRMS: m/z=196.0967 (C10H14NO3 (M+H)+, calcd.: 196.0968). ",Ethyl 2-(5-methoxypyridin-2-yl)acetate,O=C(OCC)CC1=NC=C(OC)C=C1,"1H NMR (CDCl3, 300 MHz): δ [ppm]=8.25 (dd, J=2.8, 0.9 Hz, 1H), 7.28–7.20 (m, 2H), 4.18 (q, J=7.1 Hz, 2H), 3.86 (s, 3H), 3.82 (s, 2H), 1.26 (t, J=7.1 Hz, 3H)","13C NMR (CDCl3, 75 MHz): δ [ppm]=170.91, 154.88, 146.23, 136.13, 124.52, 122.22, 61.17, 55.83, 42.59, 14.28","CDCl3, 300 MHz","8.25, 7.28–7.20, 4.18, 3.86, 3.82, 1.26","CDCl3, 75 MHz","170.91, 154.88, 146.23, 136.13, 124.52, 122.22, 61.17, 55.83, 42.59, 14.28"
PMC10089100,"4.1.1 2-(4-Methylphenyl)-4,5-diphenyl-1H-imidazole (4a) White solid; yield: 95%; 1H NMR (400 MHz, DMSO-d6) 12.57 (s, 1H), 7.97–7.95 (d, J = 8.25 Hz, 2H), 7.52–7.49 (d, J = 7.15 Hz, 4H), 7.35–7.24 (m, 8H), 2.31 (s, 3H). 13C NMR (100 MHz, DMSO-d6) δ 146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42; anal. calcd for C22H20N2: C, 84.58; H, 6.45; N, 8.97; found C, 84.55; H, 6.43; N, 8.95. ","2-(4-Methylphenyl)-4,5-diphenyl-1H-imidazole",CC1=CC=C(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2)C=C1,"1H NMR (400 MHz, DMSO-d6) 12.57 (s, 1H), 7.97–7.95 (d, J = 8.25 Hz, 2H), 7.52–7.49 (d, J = 7.15 Hz, 4H), 7.35–7.24 (m, 8H), 2.31 (s, 3H).","13C NMR (100 MHz, DMSO-d6) δ 146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42.","400 MHz, DMSO-d6","12.57, 7.97–7.95, 7.52–7.49, 7.35–7.24, 2.31","100 MHz, DMSO-d6","146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42"
