input,output,bio_label
"ether , 20 "" C ] and put forth an attractive reaction mechanism which involves the formal "" double alkylation "" of titanacyclo- propane intermediate 5 ( Scheme 1 ).","ether , 20 "" C ] and put forth an attractive reaction mechanism which involves the formal "" double alkylation "" of titanacyclo- propane intermediate 5 ( Scheme 1 ).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"7cd,*-10 More recently , Corey reported an improved procedure for this hydroxycyclopropa- nation , along with the unequivocal determination of exception- ally high diastereoselectivity for cis- 1 ,Zdisubstituted cyclopro- panols and an enantioselective version mediated by a chiral C2- symmetric diol ligand .","7cd,*-10 More recently , Corey reported an improved procedure for this hydroxycyclopropa- nation , along with the unequivocal determination of exception- ally high diastereoselectivity for cis- 1 ,Zdisubstituted cyclopro- panols and an enantioselective version mediated by a chiral C2- symmetric diol ligand .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"""","""",['O']
We also found that LASC 1a worked well in water rather than in organic solvents.,We also found that LASC 1a worked well in water rather than in organic solvents.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The effect of solvents on the aldol reaction of benzaldehyde with 2 is shown in Table 2.,The effect of solvents on the aldol reaction of benzaldehyde with 2 is shown in Table 2.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"While the reaction in water afforded the product in high yield , low yields were observed in other organic solvents.","While the reaction in water afforded the product in high yield , low yields were observed in other organic solvents.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
These solvent,These solvent,"['O', 'O']"
"the glycosylation of methyl 2,3,6-tri-0-benzoyl-a- ~ -glucopy- ranoside 1614 with 5-thioglucopyranosyl trichloroacetimidate 6 in the presence of triethylsilyl triflate.","the glycosylation of methyl 2,3,6-tri-0-benzoyl-a- ~ -glucopy- ranoside 1614 with 5-thioglucopyranosyl trichloroacetimidate 6 in the presence of triethylsilyl triflate.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal 9 and low yields of the disaccharides.","As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal <Prod*9*Prod> and low yields of the <Prod*disaccharides.*Prod>","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'B-Prod']"
"As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal 9 and low yields of the disaccharides.","As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal <Prod*9*Prod> and low yields of the <Prod*disaccharides.*Prod>","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'B-Prod']"
