input,output,bio_label
"As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal <Prod*9*Prod> and low yields of the disaccharides.","As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in <Reaction*glycosylation*Reaction> reactions , led to the isolation of <Yield*significant quantities*Yield> of the glucal <Prod*9*Prod> and low yields of the disaccharides.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O']"
"As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in glycosylation reactions , led to the isolation of significant quantities of the glucal 9 and low yields of the <Prod*disaccharides.*Prod>","As observed for the glycosylations of the 4-OH acceptor 7 , the use of equimolar proportions of the donor 6 and the acceptor 16 , in <Reaction*glycosylation*Reaction> reactions , led to the isolation of significant quantities of the glucal 9 and <Yield*low*Yield> yields of the <Prod*disaccharides.*Prod>","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'O', 'O', 'O', 'B-Prod']"
"For biphenyl-4-ol and 2-naphthol , ring- opening products <Prod*2l*Prod> and 2m were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","For <Reactants*biphenyl-4-ol*Reactants> and 2-naphthol , ring- opening products <Prod*2l*Prod> and 2m were produced in dramatically diﬀerent yields ( <Yield*84*Yield> and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","['O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"For biphenyl-4-ol and 2-naphthol , ring- opening products 2l and <Prod*2m*Prod> were produced in dramatically diﬀerent yields ( 84 and 40 % , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","For biphenyl-4-ol and <Reactants*2-naphthol*Reactants> , ring- opening products 2l and <Prod*2m*Prod> were produced in dramatically diﬀerent yields ( 84 and <Yield*40 %*Yield> , respectively ) and ee values ( 87 and 23 % ee , respectively ) ( Table 3 , entries 12 and 13 ).","['O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The reactions of 1a with phenols containing electron - donating multisubstituted groups gave the corresponding products <Prod*2n*Prod> and 2p in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","The reactions of <Reactants*1a*Reactants> with phenols containing electron - donating multisubstituted groups gave the corresponding products <Prod*2n*Prod> and 2p in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","['O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The reactions of 1a with phenols containing electron - donating multisubstituted groups gave the corresponding products 2n and <Prod*2p*Prod> in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","The reactions of <Reactants*1a*Reactants> with phenols containing electron - donating multisubstituted groups gave the corresponding products 2n and <Prod*2p*Prod> in good yields with moderate to good ee values ( Table 3 , entries 14 and 16 ) , while 2,4-dichlorophenol gave 42 % yield and 60 % ee ( Table 3 , entry 15 ).","['O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In one competition experiment , 5 equiv of 4- methoxylphenol and 4-chlorophenol was used as the nucleophiles , and the ring - opening reaction proceed at 73 % conversion with a greater than 2 : 1 ratio of <Prod*2e*Prod> to 2g ( Table 3 , entry 19 ) , reacted preferentially.","In one competition experiment , 5 equiv of <Reactants*4- methoxylphenol*Reactants> and <Reactants*4-chlorophenol*Reactants> was used as the nucleophiles , and the <Reaction*ring - opening*Reaction> reaction proceed at <Yield*73 %*Yield> conversion with a greater than 2 : 1 ratio of <Prod*2e*Prod> to 2g ( Table 3 , entry 19 ) , reacted preferentially.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In one competition experiment , 5 equiv of 4- methoxylphenol and 4-chlorophenol was used as the nucleophiles , and the ring - opening reaction proceed at 73 % conversion with a greater than 2 : 1 ratio of 2e to <Prod*2g*Prod> ( Table 3 , entry 19 ) , reacted preferentially.","In one competition experiment , 5 equiv of <Reactants*4- methoxylphenol*Reactants> and <Reactants*4-chlorophenol*Reactants> was used as the nucleophiles , and the <Reaction*ring - opening*Reaction> reaction proceed at <Yield*73 %*Yield> conversion with a greater than 2 : 1 ratio of 2e to <Prod*2g*Prod> ( Table 3 , entry 19 ) , reacted preferentially.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Reaction', 'I-Reaction', 'I-Reaction', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Treatment of 2-(3- ~ hloropropyl)furan ~ ~ with magnesium and quenching the resulting Grigand reagent with excess acetic an- hydride gave ketone <Prod*11*Prod> in 72 % yield.lS Condensation of 11 with (ethoxyvinyl)lithium16 and treatment with phenylsulfenyl chloride gave sulfoxide 12 as a 1 : l E / Z mixture.,Treatment of <Reactants*2-(3- ~ hloropropyl)furan*Reactants> ~ ~ with <Reactants*magnesium*Reactants> and quenching the resulting <Catalyst_Reagents*Grigand*Catalyst_Reagents> reagent with excess <Reactants*acetic an- hydride*Reactants> gave ketone <Prod*11*Prod> in <Yield*72 %*Yield> yield.lS Condensation of 11 with (ethoxyvinyl)lithium16 and treatment with phenylsulfenyl chloride gave sulfoxide 12 as a 1 : l E / Z mixture.,"['O', 'O', 'B-Reactants', 'I-Reactants', 'I-Reactants', 'O', 'O', 'O', 'B-Reactants', 'O', 'O', 'O', 'O', 'B-Catalyst_Reagents', 'O', 'O', 'O', 'B-Reactants', 'I-Reactants', 'I-Reactants', 'O', 'O', 'B-Prod', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Treatment of 2-(3- ~ hloropropyl)furan ~ ~ with magnesium and quenching the resulting Grigand reagent with excess acetic an- hydride gave ketone 11 in 72 % yield.lS Condensation of 11 with (ethoxyvinyl)lithium16 and treatment with phenylsulfenyl chloride gave sulfoxide <Prod*12*Prod> as a 1 : l E / Z mixture.,Treatment of 2-(3- ~ hloropropyl)furan ~ ~ with magnesium and quenching the resulting Grigand reagent with excess acetic an- hydride gave ketone 11 in <Yield*72 %*Yield> yield.lS Condensation of <Reactants*11*Reactants> with <Reactants*(ethoxyvinyl)lithium16*Reactants> and treatment with <Workup_reagents*phenylsulfenyl chloride*Workup_reagents> gave sulfoxide <Prod*12*Prod> as a 1 : l E / Z mixture.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Yield', 'I-Yield', 'O', 'O', 'O', 'B-Reactants', 'O', 'B-Reactants', 'O', 'O', 'O', 'B-Workup_reagents', 'I-Workup_reagents', 'O', 'O', 'B-Prod', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
