documentId,paragraphText,sorted_compounds
US20130059896A1,"To a solution of aminothiazole 13 (35 mg, 0.11 mmol) in THF (1.0 mL) was added N-methylmorpholine (0.12 mL, 1.1 mmol) followed by butyryl chloride (0.12 mL, 1.1 mmol). The reaction was stirred for 5 minutes. The reaction was filtered, concentrated in vacuo, and purified by preparative HPLC ((30×100mm C18 column, 10-100% methanol:water (10 mM ammonium acetate), 15 min, 45 mL/min) to afford the desired amide 14 (7.4 mg, 18% yield, 97.6% pure by HPLC analysis). 1H NMR (METHANOL-d4) δ: 7.83 (d, J=2.0 Hz, 1H), 7.55-7.68 (m, 3H), 7.28 (s, 1H), 6.79 (d, J=2.0 Hz, 1H), 2.41 (t, J=7.4 Hz, 2H), 1.62-1.76 (m, 2H), 0.96 (t, J=7.4 Hz, 3H) MS (ES+) [M +H]+: 381.1.",aminothiazole | THF | N-methylmorpholine | butyryl chloride | methanol | water | amide
US08940744B2,"To a solution of 4N HCl in dioxane (0.5 mL, 0.050 mmol) in THF (1 mL) in the ice bath, was added tert-butyl 4-[4-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]pyrrolidin-1-yl]-3-cyano-1,1-dimethyl-4-oxo-but-2-enyl]piperazine-1-carboxylate (32.9 mg, 0.050 mmol). The ice bath was removed, the reaction mixture was stirred for 4 h at room temperature at which point TLC and LC-MS showed the reaction was finished. The mixture was concentrated in vacuo, adjusted with NaHCO3 to pH 6-7, and the aq. layer extracted with CH2Cl2. The combined organic layer was washed by brine, dried over Na2SO4, filtered, and the solvent removed to get product 2-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]-pyrrolidine-1-carbonyl]-4-methyl-4-piperazin-1-yl-pent-2-enenitrile (24 mg, 0.039 mmol, 85% yield) as an off white powder. LC-MS (ES, m/z): 610 [M+H]","HCl | dioxane | THF | ice | tert-butyl 4-[4-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]pyrrolidin-1-yl]-3-cyano-1,1-dimethyl-4-oxo-but-2-enyl]piperazine-1-carboxylate | ice | CH2Cl2 | brine | Na2SO4 | 2-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]-pyrrolidine-1-carbonyl]-4-methyl-4-piperazin-1-yl-pent-2-enenitrile"
US20140213586A1,"tert-Butyl 7-fluoro-3-formyl-1H-indole-1-carboxylate was prepared according to general procedure F from 7-fluoro-1H-indole-3-carbaldehyde (0.485 g; 2.973 mmol), di-tert-butyl dicarbonate (0.780 g; 3.574 mmol) and DMAP (0.046 g; 0.377 mmol) in acetonitrile (9 mL) to afford 0.687 g (88%) of the desired compound as a beige solid. 1H NMR (DMSO-d6) δ 10.08 (1H, s); 8.77 (1H, s); 8.01 (1H, d); 7.25-7.43 (2H, m); 1.64 (9H, s).",tert-Butyl 7-fluoro-3-formyl-1H-indole-1-carboxylate | 7-fluoro-1H-indole-3-carbaldehyde | di-tert-butyl dicarbonate | DMAP | acetonitrile | desired compound
US20100087480A1,"2-(2-Chloro-4-methoxy-5-methylbenzyl)isoindoline-1,3-dione (174 mg, 0.55 mmol) was dissolved in MeOH (30 ml) and hydrazine hydrate (111 mg, 2.21 mmol) and then heated under reflux for 1 hour. The solvent was removed in vacuo and the precipitate was filtered off. The filtrate was evaporated to give a residue, which was chromatographed on a column of silica gel eluting with MeOH-DCM (1:10) to give the title compound (130 mg, 100%) as white solid. 1H NMR (270 MHz,DMSO-d6) δ ppm 2.12 (3H, s), 3.38 (2H, br s), 3.69 (2H, s), 3.78 (3H, s), 6.94 (1H, s), 7.29 (1H, s). MS (ESI) m/z 169 (M+H—NH2)+","2-(2-Chloro-4-methoxy-5-methylbenzyl)isoindoline-1,3-dione | MeOH | hydrazine hydrate | silica gel | MeOH-DCM | title compound"
US20150266895A1,"6-chloro-1-trityl-1H-pyrazolo[4,3-c]pyridin-3-amine (500 mg, 1.217 mmol), (R)-1-(1-phenylethyl)urea (400 mg, 2.434 mmol), cesium carbonate (1023 mg, 3.14 mmol) and chloro[2-(dicyclohexylphosphino)-3,6-dimethoxy-2′-4′-6′-tri-1-propyl-1,1′-biphenyl][2-(2-aminoethyl)phenyl]palladium(II) (58.3 mg, 0.073 mmol) were charge in a 40 mL vial with dioxane (11 ml). System was degassed and stirred at 100° C. for 3 hours. Reaction mixture was evaporated in vacuo and purified by normal phase column chromotography eluting with hexane/EtOAc(0-50%) affording (R)-1-(3-amino-1-trityl-1H-pyrazolo[4,3-c]pyridin-6-yl)-3-(1-phenylethyl)urea (333 mg, 0.618 mmol, 50.8% yield) as an off white solid. 1H NMR (500 MHz, dmso) δ 8.82 (s, 1H), 8.51 (s, 1H), 8.32 (bs, 1H), 7.38-7.13 (m, 19H), 6.49 (s, 1H), 5.88 (s, 2H), 4.85-4.75 (m, 1H), 1.35 (d, 3H). MS ESI calc'd. For C34H30N6O[M+H]+ 539. found 539.","6-chloro-1-trityl-1H-pyrazolo[4,3-c]pyridin-3-amine | (R)-1-(1-phenylethyl)urea | cesium carbonate | chloro[2-(dicyclohexylphosphino)-3,6-dimethoxy-2′-4′-6′-tri-1-propyl-1,1′-biphenyl][2-(2-aminoethyl)phenyl]palladium(II) | dioxane | hexane/EtOAc(0-50%) | (R)-1-(3-amino-1-trityl-1H-pyrazolo[4,3-c]pyridin-6-yl)-3-(1-phenylethyl)urea"
US04304728,"A solution of ethyl 6-(4-chlorophenyl)-2,4,6-trioxohexanoate (0.26 g) in cold concentrated sulphuric acid (3 ml) was stirred for 3 hours at 0°-5° C. then poured on to ice (10 g). The solid product was recrystallised from ethanol-water to give the title product identical (mp, IR and NMR, and thin-layer chromatography) with the product described in Example 12.","ethyl 6-(4-chlorophenyl)-2,4,6-trioxohexanoate | sulphuric acid | ice | ethanol-water | title product"
US20160083386A1,"A mixture of phenyl(4,5-dimethylthiazol-2-yl)carbamate (80 mg, 0.322 mmol, 2.0 equiv.), (4S)-7-(3-(trifluoromethyl)cyclohexyl)-2,3,4,5-tetrahydro-1,4-methanopyrido[2,3-b][1,4]diazepine (75 mg, 0.161 mmol, 1.0 equiv.) and DMAP (24 mg, 0.193 mmol, 1.2 equiv.) in acetonitrile (4 mL) were stirred at 60° C. overnight. TLC and LC/MS were used to monitor reaction progress. The mixture was purified by prep HPLC to give (4S)—N-(4,5-dimethylthiazol-2-yl)-7-(3-(trifluoromethyl)cyclohexyl)-3,4-dihydro-1,4-methanopyrido[2,3-b][1,4]diazepine-5(2H)-carboxamide (14.5 mg, 12%). MS (ESI) calcd for C22H26F3N5OS: 465.18. found: 466 [M+H].","phenyl(4,5-dimethylthiazol-2-yl)carbamate | (4S)-7-(3-(trifluoromethyl)cyclohexyl)-2,3,4,5-tetrahydro-1,4-methanopyrido[2,3-b][1,4]diazepine | DMAP | acetonitrile | (4S)—N-(4,5-dimethylthiazol-2-yl)-7-(3-(trifluoromethyl)cyclohexyl)-3,4-dihydro-1,4-methanopyrido[2,3-b][1,4]diazepine-5(2H)-carboxamide"
US04486438,"Using the procedure of Step A of Example 6, a solution of 16.58 g of N-(2-thiazolyl)-acetamide in 340 ml of tetrahydrofuran, 155 ml of a solution of butyllithium in hexane and a solution of 17 g of the product of Step A in 170 ml of tetrahydrofuran were reacted to obtain 5.5 g of 2-[(2-chloro-1-oxo-butyl)-amino]-β-oxo-N-(2-thiazolyl)-3-trifluoromethyl-benzenepropanamide melting at 170° C.",N-(2-thiazolyl)-acetamide | tetrahydrofuran | butyllithium | hexane | product | tetrahydrofuran | 2-[(2-chloro-1-oxo-butyl)-amino]-β-oxo-N-(2-thiazolyl)-3-trifluoromethyl-benzenepropanamide
US05587393,Prepared analogously to Example 1 from tert.-butyl 4'-[[2-n-butyl-6-(N-phenylmethanesulphonyl-methylamino)-benzimidazol-1-yl]methyl]biphenyl-2-carboxylate and trifluoroacetic acid in methylene chloride.,tert.-butyl 4'-[[2-n-butyl-6-(N-phenylmethanesulphonyl-methylamino)-benzimidazol-1-yl]methyl]biphenyl-2-carboxylate | trifluoroacetic acid | methylene chloride
US07189741B2,"This compound was prepared following the procedure described in example 13 (part B) at room temperature for 15 hours, starting with 4 g (15 mmol) of 4-(1H-indol-3-yl)-piperidine-1-carboxylic acid ethyl ester and 30 mL of a freshly prepared 2-bromomethyl-thiophene 0.61M solution in anhydrous ethyl ether. After standard work-up, 5.6 g (100% of yield) of the expected product was obtained.",4-(1H-indol-3-yl)-piperidine-1-carboxylic acid ethyl ester | 2-bromomethyl-thiophene | ethyl ether | expected product
US08129396B2,"To a room temperature solution of 2-[5-carboxy-1H-benzimidazol-2(3H)-ylidene]-2-(4-trifluoromethylpyrimidin-2-yl)acetamide (630 mg, 1.73 mmol) in dimethylformamide (20 mL) was added DIPEA (661 μL, 3.79 mmol, 2.2 eq.), HBTU (720 mg, 1.90 mmol, 1.1 eq.). After 5 min, 3-(4-morpholinyl)propan-1-amine (277 μL, 1.90 mmol, 1.1 eq.) was added and the mixture was stirred at room temperature for 3 hr. The mixture was diluted with EA (50 mL) and washed three times with 5% aqueous sodium bicarbonate (50 mL each). The EA fraction was decanted, dried over magnesium sulfate, filtered, and concentrated under vacuum to give a yellow solid. About 2 mL of 4.0 M hydrogen chloride in dioxane was added, and the mixture was stirred for 15 min and then concentrated under vacuum to give 2-(5-{[3-(4-morpholinyl)propyl]aminocarbonyl}-1H-benzimidazol-2(3H)-ylidene)-2-(4-trifluoromethylpyrimidin-2-yl)acetamide hydrochloride (750 mg, 1.52 mmol, 88% yield) as a yellow solid.",2-[5-carboxy-1H-benzimidazol-2(3H)-ylidene]-2-(4-trifluoromethylpyrimidin-2-yl)acetamide | dimethylformamide | DIPEA | HBTU | 3-(4-morpholinyl)propan-1-amine | EA | sodium bicarbonate | EA | magnesium sulfate | hydrogen chloride | dioxane | 2-(5-{[3-(4-morpholinyl)propyl]aminocarbonyl}-1H-benzimidazol-2(3H)-ylidene)-2-(4-trifluoromethylpyrimidin-2-yl)acetamide hydrochloride
US09434690B2,75 mg (0.14 mmol) of ethyl 6-({2-[4-(5-chloro-2-cyanophenyl)-5-methoxy-2-oxopyridin-1(2H)-yl]butanoyl}amino)-1H-indole-2-carboxylate (racemate) were hydrolysed with lithium hydroxide according to General Method 3. Yield: 38 mg (48% of theory),ethyl 6-({2-[4-(5-chloro-2-cyanophenyl)-5-methoxy-2-oxopyridin-1(2H)-yl]butanoyl}amino)-1H-indole-2-carboxylate | lithium hydroxide
US20150232459A1,"To a solution of methyl [3-(3-{(1R)-1-[{[(2R,5S)-4-benzyl-5-(hydroxymethyl)morpholin-2-yl]carbonyl}(cyclopropyl)amino]ethyl}-6-methyl-1H-pyrazolo[3,4-b]pyridin-1-yl)propyl]carbamate (150 mg) in dichloromethane (4.5 mL) were added triethylamine (148 μL) and methanesulfonyl chloride (78 μL) under ice-cooling, and the mixture was stirred for 2 hours with raising the temperature slowly from ice-cooling to room temperature. The reaction solution was poured into aqueous saturated sodium hydrogen carbonate solution, and the mixture was extracted with chloroform. The organic layer was aqueous saturated sodium hydrogen carbonate solution, washed with water and saturated saline, dried over anhydrous magnesium sulfate, and the solvent was evaporated off under reduced pressure to give a crude [(3R,6R)-4-benzyl-6-{cyclopropyl[(1R)-1-(1-{3-[(methoxycarbonyl)amino]propyl}-6-methyl-1H-pyrazolo[3,4-b]pyridin-3-yl)ethyl]carbamoyl}morpholin-3-yl]methyl methanesulfonate (188 mg).","methyl [3-(3-{(1R)-1-[{[(2R,5S)-4-benzyl-5-(hydroxymethyl)morpholin-2-yl]carbonyl}(cyclopropyl)amino]ethyl}-6-methyl-1H-pyrazolo[3,4-b]pyridin-1-yl)propyl]carbamate | dichloromethane | triethylamine | methanesulfonyl chloride | ice | ice | sodium hydrogen carbonate | chloroform | water | magnesium sulfate | [(3R,6R)-4-benzyl-6-{cyclopropyl[(1R)-1-(1-{3-[(methoxycarbonyl)amino]propyl}-6-methyl-1H-pyrazolo[3,4-b]pyridin-3-yl)ethyl]carbamoyl}morpholin-3-yl]methyl methanesulfonate"
US04221706,"4.46 g. of carbobenzoxy-β-alanine is dissolved in 20 ml. of tetrahydrofuran and the resulting solution cooled to -10° C. With constant stirring of the solution, 2.4 ml. of N-methylmorpholine followed by 2.6 ml. of isobutylchloroformate are added and the resulting reaction mixture is stirred thereafter for approximately 5 minutes at -10° C. 4.16 g. of L-proline t-butyl ester hydrochloride in 20 ml. of dimethylformamide and 2.8 ml. of triethylamine is added to the reaction mixture which is thereafter stirred overnight, while slowly warming to room temperature. The solvent of the reaction mixture is evaporated in vacuo at 30°-35°. The residue is dissolved in 800 ml. of ethyl acetate which is washed with (2×150 ml.) a 10% citric acid solution, with (1×150 ml.) water, with (2×150 ml.) saturated solution of sodium bicarbonate and then with (2×100 ml.) water. The organic layer is dried with anhydrous magnesium sulfate and the solvent evaporated to yield carbobenzoxy-β-alanyl-L-proline t-butyl ester.",carbobenzoxy-β-alanine | tetrahydrofuran | N-methylmorpholine | isobutylchloroformate | L-proline t-butyl ester hydrochloride | dimethylformamide | triethylamine | ethyl acetate | citric acid | magnesium sulfate | carbobenzoxy-β-alanyl-L-proline t-butyl ester
US04329470,"To a stirred solution of 11.8 g of 2-(hydroxyimino)-N-(4-methoxyphenyl)-3-oxobutanamide in 30 ml of acetic acid and 10 ml of acetic anhydride at 20°-30° C. is added 10 g of zinc dust and the mixture is stirred for 1 hour. Water (150 ml) is added, the mixture is stirred for 2 hours, and the zinc is removed by filtration. The solvent is evaporated from the filtrate under reduced pressure and the resulting residue is recrystallized from methanol to give 2-acetylamino-N-(4-methoxyphenyl)-3-oxobutanamide.",2-(hydroxyimino)-N-(4-methoxyphenyl)-3-oxobutanamide | acetic acid | acetic anhydride | zinc | Water | zinc | methanol | 2-acetylamino-N-(4-methoxyphenyl)-3-oxobutanamide
